Stock A,Stock B,Signal,Stock A Buy/Sell,Z-Score,Half-Life
SFEF,NICGF,Exit,,0.6407702079913966,5.0
NIBSF2,SIGS3,Exit,,-0.5184308870925062,5.0377063605984995
NICBF,NICSF,Exit,,-0.1537091972396727,12.441234812845696
HRL,EBL,Buy,HRL,-1.3294852097638477,39.48401999698957
HHL,H8020,Exit,,0.45113278452094174,10.935108072117067
JOSHI,SBID89,Buy,SBID89,1.3923088937123547,26.260453049332693
SALICO,PRSF,Exit,,-1.1033025157614664,8.198942656906558
