Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
2024091801024601,NABIL,1,4,10,556.00,"5,560.00"
2024091801024517,NABIL,1,22,25,556.00,"13,900.00"
2024091801024384,NABIL,1,4,10,556.00,"5,560.00"
2024091801024383,NABIL,1,49,10,556.00,"5,560.00"
2024091801024382,NABIL,1,34,18,556.00,"10,008.00"
2024091801024381,NABIL,1,38,100,555.50,"55,550.00"
2024091801008402,NABIL,54,43,40,558.70,"22,348.00"
2024091801008381,NABIL,59,57,155,558.60,"86,583.00"
2024091801008782,NABIL,64,53,272,558.90,"152,020.80"
2024091801008683,NABIL,64,26,80,558.90,"44,712.00"
2024091801008669,NABIL,45,26,10,558.90,"5,589.00"
2024091801008643,NABIL,48,26,400,558.90,"223,560.00"
2024091801008588,NABIL,93,26,10,558.90,"5,589.00"
2024091801008506,NABIL,8,38,20,558.00,"11,160.00"
2024091801009036,NABIL,17,38,20,560.00,"11,200.00"
2024091801009035,NABIL,17,36,20,560.00,"11,200.00"
2024091801009006,NABIL,21,42,25,560.00,"14,000.00"
2024091801008999,NABIL,57,54,20,560.00,"11,200.00"
2024091801008785,NABIL,8,42,10,560.00,"5,600.00"
2024091801008784,NABIL,8,3,33,560.00,"18,480.00"
2024091801009314,NABIL,93,53,10,560.00,"5,600.00"
2024091801009292,NABIL,28,1,200,559.00,"111,800.00"
2024091801009146,NABIL,64,17,39,558.90,"21,797.10"
2024091801009145,NABIL,34,17,10,559.00,"5,590.00"
2024091801009055,NABIL,93,33,70,561.90,"39,333.00"
2024091801009037,NABIL,17,35,10,561.00,"5,610.00"
2024091801009593,NABIL,22,53,100,560.00,"56,000.00"
2024091801009552,NABIL,13,53,25,560.00,"14,000.00"
2024091801009507,NABIL,52,53,15,560.00,"8,400.00"
2024091801009469,NABIL,58,53,25,560.00,"14,000.00"
2024091801009341,NABIL,34,53,100,560.00,"56,000.00"
2024091801009319,NABIL,13,53,100,560.00,"56,000.00"
2024091801009789,NABIL,21,33,34,561.90,"19,104.60"
2024091801009734,NABIL,38,53,373,560.00,"208,880.00"
2024091801009676,NABIL,11,53,100,560.00,"56,000.00"
2024091801009644,NABIL,42,53,50,560.00,"28,000.00"
