0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2024091804018386,NGPL,58,91,160,446.00,"71,360.00"
2,2024091804018284,NGPL,25,34,291,445.40,"129,611.40"
3,2024091804018283,NGPL,16,34,99,445.40,"44,094.60"
4,2024091804018282,NGPL,34,34,100,446.00,"44,600.00"
5,2024091804018281,NGPL,68,34,50,446.00,"22,300.00"
6,2024091804018280,NGPL,45,34,430,446.00,"191,780.00"
7,2024091804005838,NGPL,75,58,100,453.90,"45,390.00"
8,2024091804005837,NGPL,75,56,500,453.90,"226,950.00"
9,2024091804005844,NGPL,75,25,10,454.40,"4,544.00"
10,2024091804005843,NGPL,75,11,100,454.00,"45,400.00"
11,2024091804005842,NGPL,75,13,500,454.00,"227,000.00"
12,2024091804005841,NGPL,75,42,215,453.90,"97,588.50"
13,2024091804005840,NGPL,75,55,100,453.90,"45,390.00"
14,2024091804005839,NGPL,75,14,"1,000",453.90,"453,900.00"
15,2024091804005850,NGPL,75,49,750,454.90,"341,175.00"
16,2024091804005849,NGPL,75,58,500,454.80,"227,400.00"
17,2024091804005848,NGPL,75,57,10,454.70,"4,547.00"
18,2024091804005847,NGPL,75,14,200,454.70,"90,940.00"
19,2024091804005846,NGPL,75,42,10,454.60,"4,546.00"
20,2024091804005845,NGPL,75,42,10,454.50,"4,545.00"
21,2024091804005866,NGPL,89,77,30,455.00,"13,650.00"
22,2024091804005865,NGPL,89,58,200,455.00,"91,000.00"
23,2024091804005864,NGPL,89,11,100,455.00,"45,500.00"
24,2024091804005853,NGPL,75,11,900,455.00,"409,500.00"
25,2024091804005852,NGPL,75,34,"3,000",455.00,"1,365,000.00"
26,2024091804005851,NGPL,75,38,550,455.00,"250,250.00"
27,2024091804005872,NGPL,89,98,200,455.00,"91,000.00"
28,2024091804005871,NGPL,89,21,155,455.00,"70,525.00"
29,2024091804005870,NGPL,89,22,750,455.00,"341,250.00"
30,2024091804005869,NGPL,89,32,419,455.00,"190,645.00"
31,2024091804005868,NGPL,89,55,200,455.00,"91,000.00"
32,2024091804005867,NGPL,89,29,"1,000",455.00,"455,000.00"
33,2024091804005879,NGPL,48,38,100,455.50,"45,550.00"
34,2024091804005878,NGPL,48,28,200,455.50,"91,100.00"
35,2024091804005876,NGPL,89,54,100,455.00,"45,500.00"
36,2024091804005875,NGPL,89,22,14,455.00,"6,370.00"
37,2024091804005874,NGPL,89,90,100,455.00,"45,500.00"
38,2024091804005873,NGPL,89,29,50,455.00,"22,750.00"
39,2024091804005891,NGPL,95,43,40,455.50,"18,220.00"
40,2024091804005888,NGPL,98,34,200,455.60,"91,120.00"
41,2024091804005887,NGPL,45,34,300,455.60,"136,680.00"
42,2024091804005883,NGPL,98,53,250,455.50,"113,875.00"
43,2024091804005881,NGPL,98,38,550,455.50,"250,525.00"
44,2024091804005880,NGPL,48,38,700,455.50,"318,850.00"
45,2024091804005917,NGPL,56,58,100,455.90,"45,590.00"
46,2024091804005916,NGPL,56,16,540,455.80,"246,132.00"
47,2024091804005915,NGPL,56,26,20,455.50,"9,110.00"
48,2024091804005894,NGPL,95,16,460,455.80,"209,668.00"
49,2024091804005893,NGPL,95,36,500,455.60,"227,800.00"
50,2024091804005892,NGPL,95,34,500,455.60,"227,800.00"
51,2024091804005933,NGPL,77,71,10,456.70,"4,567.00"
52,2024091804005932,NGPL,77,58,910,456.00,"414,960.00"
53,2024091804005931,NGPL,56,58,90,456.00,"41,040.00"
54,2024091804005920,NGPL,56,38,100,456.00,"45,600.00"
55,2024091804005919,NGPL,56,90,100,456.00,"45,600.00"
56,2024091804005918,NGPL,56,29,50,456.00,"22,800.00"
57,2024091804005939,NGPL,77,41,"1,000",458.00,"458,000.00"
58,2024091804005938,NGPL,77,29,50,458.00,"22,900.00"
59,2024091804005937,NGPL,77,71,10,457.90,"4,579.00"
60,2024091804005936,NGPL,77,67,"1,000",457.00,"457,000.00"
61,2024091804005935,NGPL,77,53,"1,000",456.90,"456,900.00"
62,2024091804005934,NGPL,77,3,10,456.80,"4,568.00"
63,2024091804005956,NGPL,49,57,10,458.00,"4,580.00"
64,2024091804005950,NGPL,49,28,490,458.00,"224,420.00"
65,2024091804005943,NGPL,77,28,510,458.00,"233,580.00"
66,2024091804005942,NGPL,77,54,100,458.00,"45,800.00"
67,2024091804005941,NGPL,77,90,200,458.00,"91,600.00"
68,2024091804005940,NGPL,77,11,200,458.00,"91,600.00"
69,2024091804005986,NGPL,71,52,310,459.00,"142,290.00"
70,2024091804005982,NGPL,45,52,190,459.00,"87,210.00"
71,2024091804005981,NGPL,45,4,10,458.00,"4,580.00"
72,2024091804005980,NGPL,49,4,390,458.00,"178,620.00"
73,2024091804005973,NGPL,49,44,100,458.00,"45,800.00"
74,2024091804005964,NGPL,49,26,10,458.00,"4,580.00"
75,2024091804006019,NGPL,77,26,20,458.90,"9,178.00"
76,2024091804006018,NGPL,77,57,10,458.00,"4,580.00"
77,2024091804005990,NGPL,71,55,240,459.00,"110,160.00"
78,2024091804005989,NGPL,71,16,100,459.00,"45,900.00"
79,2024091804005988,NGPL,71,32,50,459.00,"22,950.00"
80,2024091804005987,NGPL,71,57,300,459.00,"137,700.00"
81,2024091804006034,NGPL,14,59,100,461.00,"46,100.00"
82,2024091804006032,NGPL,77,71,200,460.00,"92,000.00"
83,2024091804006023,NGPL,77,90,200,460.00,"92,000.00"
84,2024091804006022,NGPL,77,40,"1,000",460.00,"460,000.00"
85,2024091804006021,NGPL,77,90,100,459.00,"45,900.00"
86,2024091804006020,NGPL,77,55,470,459.00,"215,730.00"
87,2024091804006077,NGPL,58,57,50,461.00,"23,050.00"
88,2024091804006071,NGPL,88,32,980,462.00,"452,760.00"
89,2024091804006070,NGPL,88,25,20,461.90,"9,238.00"
90,2024091804006063,NGPL,49,26,10,461.80,"4,618.00"
91,2024091804006051,NGPL,49,25,20,461.80,"9,236.00"
92,2024091804006040,NGPL,77,44,100,460.00,"46,000.00"
93,2024091804006107,NGPL,54,4,300,462.00,"138,600.00"
94,2024091804006102,NGPL,54,53,200,462.00,"92,400.00"
95,2024091804006101,NGPL,54,51,100,462.00,"46,200.00"
96,2024091804006100,NGPL,16,51,100,462.10,"46,210.00"
97,2024091804006089,NGPL,54,58,"1,000",462.00,"462,000.00"
98,2024091804006079,NGPL,26,32,20,462.00,"9,240.00"
99,2024091804006125,NGPL,57,26,200,462.80,"92,560.00"
100,2024091804006124,NGPL,57,49,50,462.00,"23,100.00"
101,2024091804006123,NGPL,57,38,500,462.00,"231,000.00"
102,2024091804006122,NGPL,57,57,50,461.00,"23,050.00"
103,2024091804006109,NGPL,54,38,400,462.00,"184,800.00"
104,2024091804006108,NGPL,49,42,10,462.70,"4,627.00"
105,2024091804006154,NGPL,46,58,50,460.10,"23,005.00"
106,2024091804006146,NGPL,77,16,"2,000",460.00,"920,000.00"
107,2024091804006142,NGPL,88,38,500,462.00,"231,000.00"
108,2024091804006128,NGPL,57,58,490,463.90,"227,311.00"
109,2024091804006127,NGPL,57,42,10,463.90,"4,639.00"
110,2024091804006126,NGPL,57,47,200,463.00,"92,600.00"
111,2024091804006186,NGPL,77,34,515,460.00,"236,900.00"
112,2024091804006185,NGPL,65,34,485,460.10,"223,148.50"
113,2024091804006171,NGPL,65,49,15,460.10,"6,901.50"
114,2024091804006170,NGPL,46,49,50,460.10,"23,005.00"
115,2024091804006159,NGPL,46,44,200,460.10,"92,020.00"
116,2024091804006157,NGPL,46,57,200,460.10,"92,020.00"
117,2024091804006231,NGPL,57,37,12,458.00,"5,496.00"
118,2024091804006216,NGPL,57,40,988,458.00,"452,504.00"
119,2024091804006215,NGPL,11,40,12,458.00,"5,496.00"
120,2024091804006210,NGPL,77,38,135,460.00,"62,100.00"
121,2024091804006206,NGPL,77,51,200,460.00,"92,000.00"
122,2024091804006195,NGPL,77,68,50,460.00,"23,000.00"
123,2024091804006291,NGPL,48,37,107,458.00,"49,006.00"
124,2024091804006290,NGPL,48,25,300,457.90,"137,370.00"
125,2024091804006289,NGPL,57,57,910,455.00,"414,050.00"
126,2024091804006288,NGPL,98,57,90,455.10,"40,959.00"
127,2024091804006275,NGPL,16,57,100,456.10,"45,610.00"
128,2024091804006272,NGPL,88,40,500,455.10,"227,550.00"
129,2024091804006379,NGPL,44,6,867,458.00,"397,086.00"
130,2024091804006364,NGPL,57,6,90,458.00,"41,220.00"
131,2024091804006354,NGPL,16,6,43,460.00,"19,780.00"
132,2024091804006353,NGPL,16,55,50,460.00,"23,000.00"
133,2024091804006352,NGPL,16,40,407,459.90,"187,179.30"
134,2024091804006292,NGPL,48,40,93,459.90,"42,770.70"
135,2024091804006502,NGPL,57,25,175,459.90,"80,482.50"
136,2024091804006501,NGPL,57,13,75,459.90,"34,492.50"
137,2024091804006500,NGPL,58,17,500,458.00,"229,000.00"
138,2024091804006495,NGPL,58,45,38,458.00,"17,404.00"
139,2024091804006491,NGPL,48,13,300,459.90,"137,970.00"
140,2024091804006481,NGPL,58,17,13,458.00,"5,954.00"
141,2024091804006511,NGPL,58,56,245,460.00,"112,700.00"
142,2024091804006510,NGPL,58,28,"1,000",460.00,"460,000.00"
143,2024091804006509,NGPL,58,6,100,460.00,"46,000.00"
144,2024091804006508,NGPL,58,58,335,459.90,"154,066.50"
145,2024091804006506,NGPL,57,58,175,459.90,"80,482.50"
146,2024091804006505,NGPL,57,25,25,459.90,"11,497.50"
147,2024091804006575,NGPL,1,68,50,461.00,"23,050.00"
148,2024091804006561,NGPL,49,58,200,461.00,"92,200.00"
149,2024091804006560,NGPL,49,54,50,461.00,"23,050.00"
150,2024091804006559,NGPL,49,16,50,461.00,"23,050.00"
151,2024091804006539,NGPL,6,57,500,460.80,"230,400.00"
152,2024091804006512,NGPL,58,49,"4,000",460.00,"1,840,000.00"
153,2024091804006769,NGPL,49,25,390,461.00,"179,790.00"
154,2024091804006748,NGPL,39,25,10,461.00,"4,610.00"
155,2024091804006747,NGPL,39,25,40,461.00,"18,440.00"
156,2024091804006653,NGPL,39,77,50,461.00,"23,050.00"
157,2024091804006623,NGPL,5,77,50,461.00,"23,050.00"
158,2024091804006622,NGPL,5,68,50,461.00,"23,050.00"
159,2024091804006807,NGPL,48,25,50,462.00,"23,100.00"
160,2024091804006806,NGPL,48,29,250,462.00,"115,500.00"
161,2024091804006773,NGPL,49,29,250,462.00,"115,500.00"
162,2024091804006772,NGPL,49,56,50,462.00,"23,100.00"
163,2024091804006771,NGPL,49,7,300,461.90,"138,570.00"
164,2024091804006770,NGPL,49,26,10,461.00,"4,610.00"
165,2024091804006970,NGPL,16,20,100,460.10,"46,010.00"
166,2024091804006923,NGPL,49,26,10,462.60,"4,626.00"
167,2024091804006850,NGPL,39,67,90,462.70,"41,643.00"
168,2024091804006849,NGPL,39,42,10,462.60,"4,626.00"
169,2024091804006809,NGPL,48,25,100,462.00,"46,200.00"
170,2024091804006808,NGPL,48,77,100,462.00,"46,200.00"
171,2024091804007203,NGPL,56,83,500,460.00,"230,000.00"
172,2024091804007202,NGPL,16,83,300,460.00,"138,000.00"
173,2024091804007201,NGPL,58,83,320,460.00,"147,200.00"
174,2024091804007200,NGPL,4,83,171,460.10,"78,677.10"
175,2024091804007143,NGPL,4,45,19,460.10,"8,741.90"
176,2024091804007137,NGPL,4,56,10,460.10,"4,601.00"
177,2024091804007453,NGPL,19,56,50,460.00,"23,000.00"
178,2024091804007447,NGPL,19,25,50,460.00,"23,000.00"
179,2024091804007442,NGPL,19,7,100,460.00,"46,000.00"
180,2024091804007441,NGPL,19,47,100,460.00,"46,000.00"
181,2024091804007440,NGPL,19,28,500,460.00,"230,000.00"
182,2024091804007204,NGPL,57,83,200,460.00,"92,000.00"
183,2024091804007667,NGPL,19,67,200,460.00,"92,000.00"
184,2024091804007621,NGPL,65,63,240,461.00,"110,640.00"
185,2024091804007603,NGPL,65,7,100,461.00,"46,100.00"
186,2024091804007598,NGPL,65,7,100,461.00,"46,100.00"
187,2024091804007597,NGPL,65,43,10,461.00,"4,610.00"
188,2024091804007596,NGPL,65,25,50,460.90,"23,045.00"
189,2024091804007846,NGPL,14,45,100,458.30,"45,830.00"
190,2024091804007845,NGPL,14,45,100,458.30,"45,830.00"
191,2024091804007799,NGPL,14,34,100,458.30,"45,830.00"
192,2024091804007704,NGPL,4,6,100,460.00,"46,000.00"
193,2024091804007683,NGPL,4,6,100,460.00,"46,000.00"
194,2024091804007668,NGPL,4,67,800,460.00,"368,000.00"
195,2024091804007946,NGPL,1,57,50,457.00,"22,850.00"
196,2024091804007912,NGPL,46,57,507,458.00,"232,206.00"
197,2024091804007880,NGPL,46,80,493,458.00,"225,794.00"
198,2024091804007879,NGPL,77,80,"2,000",458.10,"916,200.00"
199,2024091804007878,NGPL,88,80,500,458.30,"229,150.00"
200,2024091804007872,NGPL,14,45,100,458.30,"45,830.00"
201,2024091804008090,NGPL,41,42,500,455.00,"227,500.00"
202,2024091804008069,NGPL,41,36,500,455.00,"227,500.00"
203,2024091804008068,NGPL,91,34,199,455.10,"90,564.90"
204,2024091804008060,NGPL,42,57,10,456.00,"4,560.00"
205,2024091804008030,NGPL,14,57,100,456.00,"45,600.00"
206,2024091804007979,NGPL,88,57,500,456.30,"228,150.00"
207,2024091804008139,NGPL,88,44,70,453.10,"31,717.00"
208,2024091804008136,NGPL,88,37,350,453.10,"158,585.00"
209,2024091804008125,NGPL,47,57,200,453.00,"90,600.00"
210,2024091804008093,NGPL,14,42,200,455.00,"91,000.00"
211,2024091804008092,NGPL,14,42,200,455.00,"91,000.00"
212,2024091804008091,NGPL,86,42,"1,000",455.00,"455,000.00"
213,2024091804008282,NGPL,66,44,100,452.80,"45,280.00"
214,2024091804008281,NGPL,56,44,100,453.00,"45,300.00"
215,2024091804008259,NGPL,56,57,100,453.00,"45,300.00"
216,2024091804008215,NGPL,47,28,187,453.00,"84,711.00"
217,2024091804008154,NGPL,47,57,253,453.00,"114,609.00"
218,2024091804008153,NGPL,88,57,80,453.10,"36,248.00"
219,2024091804008397,NGPL,32,19,100,452.00,"45,200.00"
220,2024091804008396,NGPL,57,19,50,452.00,"22,600.00"
221,2024091804008395,NGPL,77,19,250,452.00,"113,000.00"
222,2024091804008394,NGPL,88,19,100,452.80,"45,280.00"
223,2024091804008353,NGPL,88,98,200,452.80,"90,560.00"
224,2024091804008283,NGPL,88,44,200,452.80,"90,560.00"
225,2024091804008534,NGPL,88,42,450,451.30,"203,085.00"
226,2024091804008532,NGPL,88,22,50,451.30,"22,565.00"
227,2024091804008509,NGPL,77,51,100,451.10,"45,110.00"
228,2024091804008497,NGPL,88,35,500,451.90,"225,950.00"
229,2024091804008496,NGPL,91,35,200,451.90,"90,380.00"
230,2024091804008420,NGPL,32,49,100,452.00,"45,200.00"
231,2024091804008705,NGPL,88,42,480,451.20,"216,576.00"
232,2024091804008649,NGPL,88,22,20,451.20,"9,024.00"
233,2024091804008610,NGPL,88,33,500,451.20,"225,600.00"
234,2024091804008546,NGPL,51,35,100,451.50,"45,150.00"
235,2024091804008536,NGPL,77,42,150,451.10,"67,665.00"
236,2024091804008535,NGPL,46,42,500,451.20,"225,600.00"
237,2024091804008767,NGPL,95,63,100,455.00,"45,500.00"
238,2024091804008740,NGPL,58,16,100,452.00,"45,200.00"
239,2024091804008739,NGPL,58,35,138,451.50,"62,307.00"
240,2024091804008721,NGPL,77,6,750,451.10,"338,325.00"
241,2024091804008707,NGPL,54,35,50,451.50,"22,575.00"
242,2024091804008706,NGPL,77,42,520,451.10,"234,572.00"
243,2024091804009074,NGPL,66,42,200,457.00,"91,400.00"
