0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
295,2024091801018143,NABIL,44,50,31,559.80,"17,353.80"
296,2024091801018130,NABIL,44,14,110,559.80,"61,578.00"
297,2024091801018541,NABIL,35,52,13,559.00,"7,267.00"
298,2024091801018424,NABIL,55,22,148,559.00,"82,732.00"
299,2024091801018372,NABIL,34,49,10,559.90,"5,599.00"
300,2024091801018199,NABIL,6,49,10,559.90,"5,599.00"
301,2024091801018158,NABIL,17,49,100,559.90,"55,990.00"
302,2024091801018148,NABIL,55,50,345,559.00,"192,855.00"
303,2024091801018731,NABIL,58,58,100,559.00,"55,900.00"
304,2024091801018678,NABIL,58,48,122,559.00,"68,198.00"
305,2024091801018677,NABIL,53,48,350,559.00,"195,650.00"
306,2024091801018676,NABIL,59,48,10,559.00,"5,590.00"
307,2024091801018675,NABIL,58,48,18,559.00,"10,062.00"
308,2024091801018542,NABIL,58,52,17,559.00,"9,503.00"
309,2024091801019003,NABIL,21,26,15,559.00,"8,385.00"
310,2024091801019002,NABIL,58,26,10,559.00,"5,590.00"
311,2024091801019001,NABIL,58,26,147,559.00,"82,173.00"
312,2024091801018875,NABIL,58,38,244,559.00,"136,396.00"
313,2024091801018852,NABIL,58,45,187,559.00,"104,533.00"
314,2024091801018851,NABIL,58,45,200,559.10,"111,820.00"
315,2024091801019414,NABIL,57,49,30,559.00,"16,770.00"
316,2024091801019382,NABIL,1,49,50,559.00,"27,950.00"
317,2024091801019183,NABIL,53,53,55,559.00,"30,745.00"
318,2024091801019078,NABIL,53,35,10,559.00,"5,590.00"
319,2024091801019005,NABIL,53,26,128,559.00,"71,552.00"
320,2024091801019004,NABIL,25,26,100,559.00,"55,900.00"
321,2024091801019725,NABIL,57,13,10,558.30,"5,583.00"
322,2024091801019597,NABIL,14,5,32,558.50,"17,872.00"
323,2024091801019596,NABIL,57,5,10,558.50,"5,585.00"
324,2024091801019523,NABIL,94,1,58,558.90,"32,416.20"
325,2024091801019475,NABIL,55,49,10,559.00,"5,590.00"
326,2024091801019462,NABIL,8,49,15,559.00,"8,385.00"
327,2024091801019756,NABIL,25,32,46,558.00,"25,668.00"
328,2024091801019755,NABIL,53,32,22,558.00,"12,276.00"
329,2024091801019735,NABIL,53,21,28,558.00,"15,624.00"
330,2024091801019734,NABIL,32,21,22,558.00,"12,276.00"
331,2024091801019733,NABIL,22,21,50,558.10,"27,905.00"
332,2024091801019726,NABIL,54,13,30,558.20,"16,746.00"
333,2024091801019762,NABIL,14,32,30,558.00,"16,740.00"
334,2024091801019761,NABIL,40,32,15,558.00,"8,370.00"
335,2024091801019760,NABIL,49,32,100,558.00,"55,800.00"
336,2024091801019759,NABIL,35,32,30,558.00,"16,740.00"
337,2024091801019758,NABIL,50,32,17,558.00,"9,486.00"
338,2024091801019757,NABIL,16,32,500,558.00,"279,000.00"
339,2024091801019768,NABIL,58,32,10,558.00,"5,580.00"
340,2024091801019767,NABIL,14,32,30,558.00,"16,740.00"
