0,Transact_No,Symbol,Buyer,Seller,Quantity,Rate,Amount
115,2024091504021862,NGPL,58,7,50,460.00,"23,000.00"
116,2024091504021861,NGPL,26,7,500,460.00,"230,000.00"
117,2024091504022176,NGPL,38,42,10,461.00,"4,610.00"
118,2024091504022035,NGPL,36,49,50,460.00,"23,000.00"
119,2024091504022034,NGPL,29,77,260,459.00,"119,340.00"
120,2024091504021912,NGPL,29,29,100,459.00,"45,900.00"
121,2024091504021911,NGPL,50,29,500,460.00,"230,000.00"
122,2024091504021898,NGPL,50,34,"2,000",460.00,"920,000.00"
123,2024091504022538,NGPL,52,42,18,461.00,"8,298.00"
124,2024091504022527,NGPL,16,19,40,458.60,"18,344.00"
125,2024091504022526,NGPL,38,19,100,459.00,"45,900.00"
126,2024091504022525,NGPL,29,19,340,459.00,"156,060.00"
127,2024091504022524,NGPL,58,19,20,460.00,"9,200.00"
128,2024091504022523,NGPL,5,19,100,460.10,"46,010.00"
129,2024091504022730,NGPL,22,42,30,458.00,"13,740.00"
130,2024091504022729,NGPL,26,42,90,458.00,"41,220.00"
131,2024091504022728,NGPL,42,42,500,458.00,"229,000.00"
132,2024091504022727,NGPL,16,42,20,458.60,"9,172.00"
133,2024091504022716,NGPL,75,32,"1,000",460.00,"460,000.00"
134,2024091504022659,NGPL,16,49,200,458.60,"91,720.00"
135,2024091504023090,NGPL,22,60,20,458.00,"9,160.00"
136,2024091504023089,NGPL,51,60,141,458.40,"64,634.40"
137,2024091504023088,NGPL,26,60,350,458.60,"160,510.00"
138,2024091504023034,NGPL,26,52,200,458.60,"91,720.00"
139,2024091504022989,NGPL,26,58,200,458.60,"91,720.00"
140,2024091504022810,NGPL,62,58,100,460.50,"46,050.00"
141,2024091504023404,NGPL,38,36,500,456.00,"228,000.00"
142,2024091504023403,NGPL,11,36,100,456.00,"45,600.00"
143,2024091504023402,NGPL,17,36,100,456.00,"45,600.00"
144,2024091504023316,NGPL,60,56,30,456.80,"13,704.00"
145,2024091504023242,NGPL,34,55,90,457.70,"41,193.00"
146,2024091504023175,NGPL,34,33,10,457.70,"4,577.00"
