Stock A,Stock B,Best Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96
ALICL,DHPL,26.0,-2.2212684507881892,1.8460009623355795,-0.10655501149655211,0.05,10495.906317777357,1.356257726721707,2.1679747414202257,0.0010000000000000872,2,0.5,inf,35.15,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10222.22748815166,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10212.005260663507,10506.412730507865,10495.906317777357,10495.906317777357,10495.906317777357
NLIC,SJLIC,12.0,-1.556441024269345,1.8586466675004412,-0.35456734658285927,0.05,10705.007548357322,1.7616401780958675,0.6229628534432734,0.009786123448979313,5,0.4,2.08910635155096,70.71624999999999,33.849999999999994,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10236.679316888045,10226.442637571156,10226.442637571156,10226.442637571156,10226.442637571156,10226.442637571156,10226.442637571156,10226.442637571156,10260.765073800063,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10250.504308726262,10581.522113116322,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10570.940591003206,10488.45848992919,10477.97003143926,10477.97003143926,10477.97003143926,10477.97003143926,10477.97003143926,10477.97003143926,10477.97003143926,10477.97003143926,10477.97003143926,10477.97003143926,10715.723271628949,10705.007548357322,10705.007548357322,10705.007548357322
RADHI,NHPC,10.0,-1.1737220890399733,1.0378650567449679,0.34550564333709255,0.05,12634.80635599504,3.0221512881245687,1.1573038777289235,0.016953271028037297,11,0.6363636363636364,25.70729166666676,17.627857142857145,1.5999999999999943,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9949.623149394347,9939.673526244953,9939.673526244953,9939.673526244953,9939.673526244953,9939.673526244953,9939.673526244953,9939.673526244953,9939.673526244953,9886.890432346963,9877.003541914617,9877.003541914617,9877.003541914617,9877.003541914617,9877.003541914617,9877.003541914617,9877.003541914617,10059.848558702744,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10049.788710144041,10325.70851887702,10315.382810358142,10315.382810358142,10315.382810358142,10315.382810358142,10315.382810358142,10315.382810358142,10315.382810358142,10315.382810358142,11214.219810833587,11024.102103012541,11692.601681545559,11680.909079864012,11680.909079864012,11864.997596703655,11853.13259910695,11853.13259910695,11853.13259910695,11853.13259910695,11853.13259910695,11853.13259910695,11853.13259910695,12250.008176821875,12237.758168645054,12237.758168645054,12237.758168645054,12237.758168645054,12237.758168645054,12237.758168645054,12237.758168645054,12237.758168645054,12284.640015155857,12272.3553751407,12272.3553751407,12272.3553751407,12272.3553751407,12272.3553751407,12272.3553751407,12585.708803968944,12573.123095164976,12573.123095164976,12573.123095164976,12573.123095164976,12573.123095164976,12573.123095164976,12573.123095164976,12573.123095164976,12573.123095164976,12647.453809804845,12634.80635599504,12634.80635599504,12634.80635599504,12634.80635599504
RADHI,AKPL,8.0,-1.451483957026786,1.6918374090633967,0.49880390462846635,0.05,12404.626396681198,2.7712210908362422,0.6683533196540352,0.02191645123696664,10,0.6,10.964634146341485,14.985000000000008,2.7333333333333294,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9966.553341148887,9956.586787807737,9956.586787807737,9956.586787807737,9956.586787807737,9956.586787807737,9956.586787807737,9956.586787807737,9956.586787807737,9956.586787807737,9956.586787807737,9956.586787807737,10192.991129384514,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10182.79813825513,10462.369758685109,10451.907388926422,10451.907388926422,10451.907388926422,10451.907388926422,10451.907388926422,10451.907388926422,10451.907388926422,10451.907388926422,11275.119523273292,11028.807265021764,11697.592163736932,11685.894571573195,11685.894571573195,11685.894571573195,12127.691152913418,12115.563461760503,12115.563461760503,12115.563461760503,12115.563461760503,12115.563461760503,12115.563461760503,12507.85399464466,12495.346140650014,12495.346140650014,12495.346140650014,12495.346140650014,12495.346140650014,12495.346140650014,12495.346140650014,12245.972194686616,12233.72622249193,12233.72622249193,12233.72622249193,12233.72622249193,12233.72622249193,12233.72622249193,12233.72622249193,12356.42330019398,12344.066876893785,12344.066876893785,12344.066876893785,12344.066876893785,12344.066876893785,12344.066876893785,12344.066876893785,12344.066876893785,12344.066876893785,12417.043440121319,12404.626396681198,12404.626396681198,12404.626396681198,12404.626396681198
NHPC,HDHPC,17.0,-1.5558292105421927,1.3398499232040253,0.45905276000809225,0.05,12758.73764518013,3.634609252080156,3.778781494993537,0.005582495818652674,10,0.7,7.7110619469026584,12.447857142857146,3.7666666666666657,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9967.011494252873,9957.04448275862,9957.04448275862,9957.04448275862,9957.04448275862,9957.04448275862,9957.04448275862,9957.04448275862,9957.04448275862,9957.04448275862,9957.04448275862,10170.754587772377,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10160.583833184604,10576.16378520093,10689.332919648909,10667.95425380961,10830.592415592417,10819.761823176825,10819.761823176825,10780.91159030915,10770.13067871884,10770.13067871884,10770.13067871884,11166.87900615381,11155.712127147655,11155.712127147655,11155.712127147655,11155.712127147655,11155.712127147655,11155.712127147655,11155.712127147655,11828.374115879222,11816.545741763342,11816.545741763342,11816.545741763342,11816.545741763342,11816.545741763342,11816.545741763342,11816.545741763342,12118.26085772126,12106.142596863538,12106.142596863538,12106.142596863538,12106.142596863538,12106.142596863538,12106.142596863538,12106.142596863538,12106.142596863538,12106.142596863538,12106.142596863538,12771.509154334464,12758.73764518013,12758.73764518013,12758.73764518013
NHPC,API,14.0,-1.1229255386790387,2.7978023694904044,-0.19885141557514008,0.1,11190.110972485185,2.49106932633504,4.266807042176498,0.0010000000000001874,5,0.8,1.953758949880668,20.465625,41.900000000000006,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10126.986301369865,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10116.859315068494,10304.144588730373,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10293.840444141642,10401.190494487688,10390.789303993202,10390.789303993202,10390.789303993202,10933.82098848885,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,10922.887167500361,11201.312284769956,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185,11190.110972485185
