Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Hedge Ratio,Half Life,Rolling Window,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101,Timestep 102,Timestep 103,Timestep 104,Timestep 105,Timestep 106,Timestep 107,Timestep 108,Timestep 109,Timestep 110,Timestep 111,Timestep 112,Timestep 113,Timestep 114,Timestep 115,Timestep 116,Timestep 117,Timestep 118,Timestep 119,Timestep 120,Timestep 121,Timestep 122,Timestep 123,Timestep 124,Timestep 125,Timestep 126,Timestep 127,Timestep 128,Timestep 129,Timestep 130,Timestep 131,Timestep 132,Timestep 133,Timestep 134,Timestep 135,Timestep 136,Timestep 137,Timestep 138,Timestep 139,Timestep 140,Timestep 141,Timestep 142,Timestep 143,Timestep 144,Timestep 145,Timestep 146,Timestep 147,Timestep 148,Timestep 149,Timestep 150,Timestep 151,Timestep 152,Timestep 153,Timestep 154,Timestep 155,Timestep 156,Timestep 157,Timestep 158,Timestep 159,Timestep 160,Timestep 161,Timestep 162,Timestep 163,Timestep 164,Timestep 165,Timestep 166,Timestep 167,Timestep 168,Timestep 169,Timestep 170,Timestep 171,Timestep 172,Timestep 173,Timestep 174,Timestep 175,Timestep 176,Timestep 177
HRL,SHIVM,-2.0232139669115092,2.082511581388421,-0.2754570037502122,0.05,10226.176058053463,-0.16457565868582288,-0.019993168420713883,0.03304564054050805,6,0.5,2.482038123167154,56.425000000000004,22.73333333333335,1.228666375936486,8.645348616844432,8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10052.352182326384,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,10042.299830144057,9846.616424298927,9836.769807874627,9836.769807874627,9836.769807874627,9836.769807874627,9836.769807874627,9836.769807874627,9836.769807874627,9775.377640750847,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,9765.602263110097,10309.418673634233,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,10299.109254960596,9978.716046009724,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,9968.737329963715,10236.412470523986,10226.176058053463,10226.176058053463,10226.176058053463,10226.176058053463
NRIC,NTC,-1.339505687401636,1.131122144511576,-0.3959864950451145,0.05,12453.166112462224,1.6192908523679324,0.23903187503148018,0.06845864060082911,33,0.5454545454545454,2.843770759521699,28.538819444444446,12.042666666666673,0.8252411012963792,5.535586976914361,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10012.27171492205,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10026.550644712057,10016.524094067345,10016.524094067345,10016.524094067345,10016.524094067345,10016.524094067345,10454.342638300253,10650.711207790033,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10435.172369836751,10424.737197466915,10424.737197466915,10424.737197466915,10424.737197466915,10550.542691000042,10602.416645899515,10581.211812607717,10581.211812607717,10581.211812607717,11583.233093997982,11711.118187807206,11687.695951431591,11687.695951431591,11687.695951431591,11687.695951431591,11649.07808047686,11637.429002396382,11637.429002396382,11637.429002396382,11498.589004044874,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11294.65449994953,11283.35984544958,11283.35984544958,11283.35984544958,11283.35984544958,11125.19251128467,11114.067318773385,11114.067318773385,11114.067318773385,11114.067318773385,11114.067318773385,11114.067318773385,11114.067318773385,11001.075259562014,10990.074184302452,10990.074184302452,10990.074184302452,10990.074184302452,10909.39095675428,10978.617656561351,11077.113604618376,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11146.102519742859,11134.956417223117,11134.956417223117,11134.956417223117,11240.505135836675,11367.897527376157,11356.52962984878,11493.936677872278,11482.442741194405,11482.442741194405,11482.442741194405,11482.442741194405,11482.442741194405,11435.57526689329,11424.139691626397,11424.139691626397,11424.139691626397,11424.139691626397,11335.355235912733,11324.01988067682,11324.01988067682,11300.219893244903,11288.919673351658,11288.919673351658,11288.919673351658,11288.919673351658,11223.47060270516,11223.220883952565,11348.119180071577,11336.771060891504,11336.771060891504,11463.994825019283,11452.530830194266,11452.530830194266,11452.530830194266,11452.530830194266,11452.530830194266,11452.530830194266,11452.530830194266,11452.530830194266,11616.31524349001,11604.69892824652,11604.69892824652,11730.649927821198,11718.919277893376,11718.919277893376,11718.919277893376,11668.465054620412,11656.796589565793,11969.07202349951,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,11957.10295147601,12491.964581061546,12479.472616480485,12479.472616480485,12479.472616480485,12479.472616480485,12479.472616480485,12359.626110131192,12347.26648402106,12347.26648402106,12109.283890925486,12097.17460703456,12097.17460703456,12097.17460703456,12097.17460703456,12097.17460703456,12395.261396710463,12484.040022839781,12471.555982816943,12964.688047759135,12465.631744206432,12453.166112462224,12453.166112462224,12453.166112462224
HRL,NRIC,-1.1210095743249688,2.1378110788658597,0.43712005768955675,0.1,10881.439267422003,0.5425462965158783,0.07608354442113816,0.04262650323248318,13,0.6153846153846154,1.9016769766093176,24.593437500000007,25.86500000000001,0.9040028348273121,11.06085316268234,11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9804.445828144459,9794.641382316315,9794.641382316315,9794.641382316315,9794.641382316315,9794.641382316315,9920.256529629618,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9910.336273099987,9786.279435571578,9776.493156136006,9776.493156136006,9776.493156136006,9776.493156136006,9814.782017729804,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9804.967235712073,9583.318285961128,9573.734967675167,9573.734967675167,9573.734967675167,9683.83291980343,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9674.149086883626,9726.773965955148,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,9717.047191989192,10414.481860480582,10057.161392754282,10591.137959661984,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10580.546821702323,10365.103750998001,10354.738647247004,10354.738647247004,10354.738647247004,10354.738647247004,10354.738647247004,10354.738647247004,10354.738647247004,10354.738647247004,11047.07423933483,11036.027165095496,11036.027165095496,11036.027165095496,11036.027165095496,11036.027165095496,11036.027165095496,11036.027165095496,11036.027165095496,11036.027165095496,11036.027165095496,11036.027165095496,11120.403476533533,10892.331599021025,10881.439267422003
HRL,MFIL,-1.0864359189795212,2.283183917219495,0.14191087956885695,0.1,10761.502966464715,0.5542945519621854,0.07133869030670709,0.06970862202401171,13,0.46153846153846156,1.4793010075566748,48.940208333333324,33.083333333333336,1.1291900965079853,7.557342151651024,7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9931.963940261548,9922.031976321286,9922.031976321286,9922.031976321286,9922.031976321286,9922.031976321286,9922.031976321286,10049.28089332637,10039.231612433041,10039.231612433041,10039.231612433041,10039.231612433041,10039.231612433041,10039.231612433041,10039.231612433041,10039.231612433041,10039.231612433041,10272.077016605277,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10261.804939588672,10731.919573935198,10946.114170695184,10935.16805652449,10935.16805652449,10935.16805652449,10935.16805652449,10935.16805652449,10815.06315745441,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10804.248094296956,10912.089066690844,10901.176977624154,10901.176977624154,10901.176977624154,10901.176977624154,10901.176977624154,10901.176977624154,10901.176977624154,10852.026056865392,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10841.174030808526,10954.552555522889,10943.598002967368,10943.598002967368,10943.598002967368,10943.598002967368,10943.598002967368,10943.598002967368,10943.598002967368,10943.598002967368,10943.598002967368,10968.653082605742,10957.684429523135,10957.684429523135,10957.684429523135,10957.684429523135,10957.684429523135,10957.684429523135,10957.684429523135,11567.884236311264,11556.316352074951,11556.316352074951,11556.316352074951,11556.316352074951,11556.316352074951,11556.316352074951,11556.316352074951,11556.316352074951,11556.316352074951,11556.316352074951,11159.171462640887,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,11148.012291178247,10939.505128488452,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10928.565623359962,10772.275241706422,10761.502966464715,10761.502966464715
HRL,NTC,-1.1265472717054528,1.8292485602756683,-0.4752122956575965,0.05,9877.586732279715,-0.2904528817356699,-0.024494104193592613,0.10796445269283858,21,0.7142857142857143,4.635904471544712,30.411533333333338,19.680000000000017,0.7445250487366568,10.84504077884674,10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9887.494305239179,9877.60681093394,9877.60681093394,10147.364698019548,10253.726758108814,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10687.27201639131,10676.584744374919,10676.584744374919,10676.584744374919,10676.584744374919,10676.584744374919,10676.584744374919,10676.584744374919,10676.584744374919,10676.584744374919,10676.584744374919,10598.53165396216,10587.933122308197,10587.933122308197,10587.933122308197,10587.933122308197,10587.933122308197,10587.933122308197,10587.933122308197,10587.933122308197,10587.933122308197,10497.268384059189,10486.771115675128,10486.771115675128,10339.770164355397,10329.430394191042,10329.430394191042,10329.430394191042,10329.430394191042,10329.430394191042,10329.430394191042,10329.430394191042,10317.356422267685,10307.039065845418,10307.039065845418,10307.039065845418,10307.039065845418,10307.039065845418,10307.039065845418,10307.039065845418,10169.931897674269,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10159.761965776595,10274.383901147701,10181.569377051068,10171.387807674017,10171.387807674017,10171.387807674017,10060.870889925165,10050.81001903524,10050.81001903524,10050.81001903524,10050.81001903524,10050.81001903524,10096.597042455289,10086.500445412834,10086.500445412834,10028.02256627741,10017.994543711133,10017.994543711133,10017.994543711133,10017.994543711133,10017.994543711133,9960.324178487494,9950.363854309006,9950.363854309006,9950.363854309006,9950.363854309006,9950.363854309006,9950.363854309006,9950.363854309006,9950.363854309006,10397.151503439372,10386.754351935933,10499.486453048756,10488.986966595709,10488.986966595709,10488.986966595709,10488.986966595709,11073.086450531879,10245.10369716639,10234.858593469226,10634.018078614527,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10623.384060535913,10588.61662179234,10578.028005170549,10578.028005170549,10578.028005170549,10578.028005170549,10578.028005170549,10578.028005170549,10578.028005170549,10380.181559669525,10369.801378109856,10369.801378109856,10369.801378109856,10369.801378109856,10369.801378109856,10369.801378109856,10369.801378109856,10369.801378109856,10369.801378109856,10369.801378109856,10369.801378109856,10648.245673469552,9912.486246612398,9887.4742064862,9877.586732279715,9877.586732279715
