Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Hedge Ratio,Half Life,Rolling Window,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101,Timestep 102,Timestep 103,Timestep 104,Timestep 105,Timestep 106,Timestep 107,Timestep 108,Timestep 109,Timestep 110,Timestep 111,Timestep 112,Timestep 113,Timestep 114,Timestep 115,Timestep 116,Timestep 117,Timestep 118,Timestep 119,Timestep 120,Timestep 121,Timestep 122,Timestep 123,Timestep 124,Timestep 125,Timestep 126,Timestep 127,Timestep 128,Timestep 129,Timestep 130,Timestep 131,Timestep 132,Timestep 133,Timestep 134,Timestep 135,Timestep 136,Timestep 137,Timestep 138,Timestep 139,Timestep 140,Timestep 141,Timestep 142,Timestep 143,Timestep 144,Timestep 145,Timestep 146,Timestep 147,Timestep 148,Timestep 149,Timestep 150,Timestep 151,Timestep 152,Timestep 153,Timestep 154,Timestep 155,Timestep 156,Timestep 157,Timestep 158,Timestep 159,Timestep 160,Timestep 161,Timestep 162,Timestep 163,Timestep 164,Timestep 165,Timestep 166,Timestep 167,Timestep 168,Timestep 169,Timestep 170,Timestep 171,Timestep 172,Timestep 173,Timestep 174,Timestep 175,Timestep 176,Timestep 177
HRL,KBL,-2.545189943043183,2.4528938231823356,-0.38775780752974864,0.05,10000.0,0.0,0.0,0.0,0,0.0,inf,0.0,0.0,3.9379158846036857,7.357265853663583,7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
HRL,SHIVM,-2.169407241928837,1.283762252758777,-0.3457613011860873,0.1,11078.80349018168,1.0610400821228807,0.1810159262772847,0.02312475226050437,11,0.6363636363636364,3.4383949880668228,41.1625,27.933333333333355,1.228666375936486,8.645348616844432,8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9817.25527831094,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9858.78210138628,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,10105.576962574738,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10125.4373086139,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10052.181298053973,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10295.81967151356,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10858.293099530796,10847.434806431263,10847.434806431263,11055.557328897512,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,10810.711015580535,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,11089.893383565246,11078.80349018168,11078.80349018168,11078.80349018168,11078.80349018168
NRIC,NTC,-1.381623566412308,1.1450945591980677,-0.3013107891011394,0.05,12356.569604154734,1.4833516338492718,0.21142627798360267,0.06845864060082911,32,0.53125,2.7601307830178103,28.987867647058827,11.902666666666672,0.8252411012963792,5.535586976914361,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10012.27171492205,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10026.550644712057,10016.524094067345,10016.524094067345,10016.524094067345,10016.524094067345,10016.524094067345,10454.342638300253,10650.711207790033,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10435.172369836751,10424.737197466915,10424.737197466915,10424.737197466915,10424.737197466915,10550.542691000042,10602.416645899515,10581.211812607717,10581.211812607717,10581.211812607717,11583.233093997982,11711.118187807206,11687.695951431591,11687.695951431591,11687.695951431591,11687.695951431591,11649.07808047686,11637.429002396382,11637.429002396382,11637.429002396382,11498.589004044874,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11294.65449994953,11283.35984544958,11283.35984544958,11283.35984544958,11283.35984544958,11125.19251128467,11114.067318773385,11114.067318773385,11114.067318773385,11114.067318773385,11114.067318773385,11114.067318773385,11114.067318773385,11001.075259562014,10990.074184302452,10990.074184302452,10990.074184302452,10990.074184302452,10909.39095675428,10978.617656561351,11077.113604618376,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11066.036491013758,11146.102519742859,11134.956417223117,11134.956417223117,11134.956417223117,11240.505135836675,11367.897527376157,11356.52962984878,11493.936677872278,11482.442741194405,11482.442741194405,11482.442741194405,11482.442741194405,11482.442741194405,11435.57526689329,11424.139691626397,11424.139691626397,11424.139691626397,11424.139691626397,11335.355235912733,11324.01988067682,11324.01988067682,11300.219893244903,11288.919673351658,11288.919673351658,11288.919673351658,11288.919673351658,11223.47060270516,11223.220883952565,11211.99766306861,11211.99766306861,11211.99766306861,11337.8211923986,11326.483371206203,11326.483371206203,11326.483371206203,11326.483371206203,11326.483371206203,11326.483371206203,11326.483371206203,11326.483371206203,11326.483371206203,11828.79793398779,11526.086127357323,11639.657820836368,11628.018163015533,11628.018163015533,11628.018163015533,11577.955302208427,11566.377346906218,11876.230528034843,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,11864.35429750681,12395.067121448941,12382.672054327493,12382.672054327493,12382.672054327493,12382.672054327493,12382.672054327493,12263.755171331943,12251.491416160612,12251.491416160612,12015.354802418671,12003.339447616252,12003.339447616252,12003.339447616252,12003.339447616252,12003.339447616252,12299.114042722898,12387.204032306381,12374.816828274073,12864.123774754205,12368.938542697431,12356.569604154734,12356.569604154734,12356.569604154734
HRL,NRIC,-1.0082621898832809,2.310478920076065,-0.08288649014589156,0.05,10138.654520695742,-0.17178655567943898,-0.020311077683063096,0.05284612730521154,13,0.46153846153846156,1.773629141136152,28.46379166666667,16.04833333333333,0.9040028348273121,11.06085316268234,11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9865.182578674812,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9662.592552919428,9652.92996036651,9652.92996036651,9652.92996036651,9652.92996036651,9652.92996036651,9776.727675019507,9852.402086633943,9842.54968454731,9842.54968454731,9842.54968454731,9842.54968454731,9698.202838530524,9498.59532876341,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9489.096733434646,9481.01974669458,9471.538726947885,9471.538726947885,9471.538726947885,9508.633258658245,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9499.124625399587,9608.36455859168,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9598.756194033089,9650.970955187935,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,9641.319984232747,10333.319382215113,9978.783595962568,10508.598759347127,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10498.09016058778,10284.326087819,10274.041761731181,10274.041761731181,10274.041761731181,10274.041761731181,10274.041761731181,10274.041761731181,10081.880931518406,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10071.799050586887,10148.803324019762,10138.654520695742,10138.654520695742
HRL,MBL,-1.9693350790409716,1.980427073021696,0.33097920284051685,0.05,10635.458979157249,0.6967803037734359,1.196090147982192,0.0013026020186755651,3,1.0,inf,17.760000000000016,0.0,3.2998806301938495,6.602723075509257,6,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10158.408826945413,10201.908398267193,10191.706489868926,10191.706489868926,10191.706489868926,10191.706489868926,10191.706489868926,10191.706489868926,10191.706489868926,10191.706489868926,10191.706489868926,10198.818189983249,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10188.619371793266,10646.10508424149,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249,10635.458979157249
KBL,NTC,-2.2242544972137406,1.8815509144167362,-0.4896111121281851,0.05,10201.917305574289,-1.1247145174094262,-0.7846900201726215,0.001000000000000062,2,0.0,0.0,0.0,6.0,0.18763616162997085,123.10137045616824,30,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10099.356014580802,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10089.25665856622,10212.129435009298,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289,10201.917305574289
HRL,NTC,-1.5060467380803557,1.8267045544611034,-0.42853681937844124,0.05,9300.03944841656,-1.0906836414608625,-0.0897903143468092,0.09932183742209236,17,0.6470588235294118,4.821988564167726,34.49913636363638,15.740000000000009,0.7445250487366568,10.84504077884674,10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9887.494305239179,9877.60681093394,9877.60681093394,10147.364698019548,10253.726758108814,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10243.473031350704,10093.246405961667,9885.508146192999,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9875.622638046805,9737.188614203416,9727.451425589212,9727.451425589212,9727.451425589212,9727.451425589212,9727.451425589212,9727.451425589212,9727.451425589212,9727.451425589212,9727.451425589212,9609.931530562399,9600.321599031837,9600.321599031837,9600.321599031837,9600.321599031837,9600.321599031837,9472.615387813785,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9463.14277242597,9569.905484281066,9483.454926104618,9473.971471178513,9473.971471178513,9473.971471178513,9371.032310305573,9361.661277995267,9361.661277995267,9361.661277995267,9361.661277995267,9361.661277995267,9361.661277995267,9361.661277995267,9361.661277995267,9307.38575402299,9298.078368268967,9298.078368268967,9298.078368268967,9298.078368268967,9298.078368268967,9244.552328397773,9235.307776069374,9235.307776069374,9235.307776069374,9235.307776069374,9235.307776069374,9235.307776069374,9235.307776069374,9235.307776069374,9649.988235063702,9640.338246828638,9744.96915935241,9735.224190193057,9735.224190193057,9735.224190193057,9735.224190193057,9735.224190193057,9735.224190193057,9735.224190193057,10114.897933610588,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,10104.783035676975,9879.4284364967,9869.549008060205,9869.549008060205,9773.247312643189,9763.474065330547,9763.474065330547,9763.474065330547,9763.474065330547,9763.474065330547,9763.474065330547,9763.474065330547,9763.474065330547,9763.474065330547,9763.474065330547,10025.637587779725,9332.898371230558,9309.348797213774,9300.03944841656,9300.03944841656
KBL,MBL,-2.034895535559103,2.4927399680842455,-0.20872396240710755,0.05,10035.150164559478,-7.0385736223040265,-1.663963388801228,0.0015992404957983234,2,0.5,4.133227848101262,32.65249999999999,7.900000000000006,0.8366436848977641,25.906125040663618,25,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10051.22448979592,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10041.173265306124,10045.195359919398,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478,10035.150164559478
MBL,NTC,-1.005884755013517,2.3870656413535833,0.4141471899053569,0.1,10732.300092972355,0.6863868068396154,0.17058283217102985,0.017177953292065284,6,0.6666666666666666,8.864583333333337,55.846875,12.599999999999994,0.2251168334323332,32.15743823055638,30,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9838.058525604953,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,9828.220467079347,10383.651679783807,10375.02899827194,10364.653969273668,10364.653969273668,10364.653969273668,10364.653969273668,10364.653969273668,10364.653969273668,10342.095604752307,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10331.753509147555,10352.635512463628,10342.282876951165,10342.282876951165,10342.282876951165,10342.282876951165,10342.282876951165,10342.282876951165,10342.282876951165,10342.282876951165,10342.282876951165,10468.237152360716,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10457.768915208355,10743.043136108463,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355,10732.300092972355
