Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Hedge Ratio,Half Life,Rolling Window,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101,Timestep 102,Timestep 103,Timestep 104,Timestep 105,Timestep 106,Timestep 107,Timestep 108,Timestep 109,Timestep 110,Timestep 111,Timestep 112,Timestep 113,Timestep 114,Timestep 115,Timestep 116,Timestep 117,Timestep 118,Timestep 119,Timestep 120,Timestep 121,Timestep 122,Timestep 123,Timestep 124,Timestep 125,Timestep 126,Timestep 127,Timestep 128,Timestep 129,Timestep 130,Timestep 131,Timestep 132,Timestep 133,Timestep 134,Timestep 135,Timestep 136,Timestep 137,Timestep 138,Timestep 139,Timestep 140,Timestep 141,Timestep 142,Timestep 143,Timestep 144,Timestep 145,Timestep 146,Timestep 147,Timestep 148,Timestep 149,Timestep 150,Timestep 151,Timestep 152,Timestep 153,Timestep 154,Timestep 155,Timestep 156,Timestep 157,Timestep 158,Timestep 159,Timestep 160,Timestep 161,Timestep 162,Timestep 163,Timestep 164,Timestep 165,Timestep 166,Timestep 167,Timestep 168,Timestep 169,Timestep 170,Timestep 171,Timestep 172,Timestep 173,Timestep 174,Timestep 175
NRIC,SJLIC,-1.6575548406450655,1.4574463600884238,-0.12899749121119874,0.05,11446.439174758152,1.3529746988945308,0.23652497491649407,0.041021421975552586,18,0.4444444444444444,1.6935319457476776,24.81659375000001,13.025555555555545,1.5967920614563058,5.838891177389309,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9874.21920065925,9864.344981458591,9864.344981458591,9864.344981458591,9864.344981458591,9864.344981458591,9864.344981458591,9873.341316053333,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9863.46797473728,9824.603087543353,9814.77848445581,9814.77848445581,9814.77848445581,9814.77848445581,9643.253063586775,9633.609810523189,9633.609810523189,9633.609810523189,9633.609810523189,9633.609810523189,9633.609810523189,9633.609810523189,9633.609810523189,9633.609810523189,9633.609810523189,9839.47567313981,9829.63619746667,9829.63619746667,9829.63619746667,9829.63619746667,9829.63619746667,9829.63619746667,9829.63619746667,9829.63619746667,9829.63619746667,9617.180169142874,9607.562988973732,9607.562988973732,9607.562988973732,9607.562988973732,9607.562988973732,9599.385165409885,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9589.785780244476,9951.12389973607,9941.172775836334,9941.172775836334,9941.172775836334,9941.172775836334,9941.172775836334,9941.172775836334,9941.172775836334,9945.687986156721,9935.742298170564,9935.742298170564,9935.742298170564,9935.742298170564,9935.742298170564,9895.18793553905,9885.29274760351,9885.29274760351,9885.29274760351,9885.29274760351,9885.29274760351,9885.29274760351,9885.29274760351,9885.29274760351,9880.30358796517,9870.423284377206,9870.423284377206,9870.423284377206,9870.423284377206,9870.423284377206,9870.423284377206,9870.423284377206,9870.423284377206,9870.423284377206,9780.074589709418,9770.29451511971,9770.29451511971,9770.29451511971,9770.29451511971,9770.29451511971,9770.29451511971,9770.29451511971,9910.021006897978,9900.11098589108,9900.11098589108,10375.510433037103,10365.134922604067,10365.134922604067,10365.134922604067,10365.134922604067,10365.134922604067,10712.9146935438,10702.201778850256,10702.201778850256,10702.201778850256,11099.589123839303,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11088.489534715465,11397.481155461195,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11386.083674305733,11446.439174758152
HRL,SHIVM,-2.1796158906310223,1.2992009248524805,0.20690705947972998,0.05,11078.80349018168,1.0731413786049873,0.18303230592170694,0.02312475226050437,11,0.6363636363636364,6.42866419294991,49.50071428571429,17.966666666666658,1.2296004470280648,8.574799582571652,8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9817.25527831094,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9807.43802303263,9858.78210138628,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,9848.923319284893,10105.576962574738,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10095.471385612162,10125.4373086139,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10115.311871305286,10052.181298053973,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10042.129116755917,10295.81967151356,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10285.523851842046,10858.293099530796,10847.434806431263,10847.434806431263,11055.557328897512,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,11044.501771568614,10810.711015580535,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,10799.900304564953,11089.893383565246,11078.80349018168,11078.80349018168,11078.80349018168,11078.80349018168
NRIC,NTC,-1.3151694373150358,1.036103271521633,-0.19436708077555176,0.05,11613.698099244348,1.03354331731675,0.13386980212063163,0.0723033089570921,34,0.5,2.4697558842239173,27.405573529411768,11.0964705882353,0.825476090244729,5.508624527509792,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10012.27171492205,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10002.259443207127,10026.550644712057,10016.524094067345,10016.524094067345,10016.524094067345,10016.524094067345,10016.524094067345,10454.342638300253,10650.711207790033,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10640.060496582244,10435.172369836751,10424.737197466915,10424.737197466915,10424.737197466915,10424.737197466915,10550.542691000042,10602.416645899515,10581.211812607717,10581.211812607717,10581.211812607717,11583.233093997982,11711.118187807206,11687.695951431591,11687.695951431591,11687.695951431591,11687.695951431591,11649.07808047686,11637.429002396382,11637.429002396382,11637.429002396382,11498.589004044874,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11487.09041504083,11460.562496799883,11259.309650481138,11236.791031180175,11236.791031180175,11236.791031180175,11236.791031180175,11079.276487080379,11068.197210593298,11068.197210593298,11068.197210593298,11068.197210593298,11068.197210593298,11068.197210593298,11068.197210593298,10955.671493525704,10944.715822032178,10944.715822032178,10944.715822032178,10944.715822032178,10864.365591241161,10933.306577805903,11031.396012238069,11020.36461622583,11020.36461622583,11020.36461622583,11020.36461622583,11020.36461622583,11020.36461622583,11100.100195507937,11089.00009531243,11089.00009531243,11089.00009531243,11194.113192024284,11320.97980820056,11309.65882839236,11446.498768445683,11435.052269677237,11435.052269677237,11435.052269677237,11435.052269677237,11435.052269677237,11388.378227362331,11376.989849134969,11376.989849134969,11376.989849134969,11376.989849134969,11288.571825661771,11277.283253836107,11277.283253836107,11253.581493989725,11242.327912495733,11242.327912495733,11242.327912495733,11242.327912495733,11177.148964016458,11176.90027590601,11301.283090321504,11289.981807231183,11289.981807231183,11416.680491956775,11405.263811464818,11405.263811464818,11405.263811464818,11405.263811464818,11405.263811464818,11405.263811464818,11405.263811464818,11405.263811464818,11568.372251820989,11556.803879569168,11556.803879569168,11682.235052710357,11670.552817657646,11670.552817657646,11670.552817657646,11620.306829643052,11608.68652281341,11919.673129936413,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,11907.753456806477,12440.407599240207,12427.967191640964,12427.967191640964,12427.967191640964,12427.967191640964,12427.967191640964,12308.615317189571,12296.306701872381,12296.306701872381,12059.306313308882,12047.247006995574,12047.247006995574,12047.247006995574,12047.247006995574,11642.490799111189,11630.84830831208,11630.84830831208,11630.84830831208,12090.738337367768,11625.323422667014,11613.698099244348,11613.698099244348,11613.698099244348
NLIC,NTC,-1.2422061763376786,1.7065704901851788,0.3922032288821147,0.05,11223.199102490005,1.7233097343313073,0.785486651213438,0.009325787829267967,7,0.42857142857142855,2.2947932618682976,49.949999999999996,21.76666666666669,0.7658281311015098,48.744909745093715,30,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10110.87912087912,10134.569975540204,10124.435405564665,10124.435405564665,10124.435405564665,10124.435405564665,10124.435405564665,10124.435405564665,10050.107233440885,10040.057126207445,10040.057126207445,10040.057126207445,10040.057126207445,10221.090820618057,10210.869729797438,10210.869729797438,10210.869729797438,10210.869729797438,10210.869729797438,10210.869729797438,10210.869729797438,10210.869729797438,10210.869729797438,10210.869729797438,10334.414995213405,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10324.080580218191,10727.192220813758,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10716.465028592946,10959.629904640744,10948.670274736103,10948.670274736103,10948.670274736103,10948.670274736103,10948.670274736103,10948.670274736103,11234.433536026032,11223.199102490005,11223.199102490005,11223.199102490005,11223.199102490005,11223.199102490005,11223.199102490005,11223.199102490005
HRL,NLIC,-1.0114574479015188,2.1084569982355506,0.41814800368753835,0.05,10832.525144568559,0.7914887111936694,0.09726766685225455,0.054526105011750245,17,0.5882352941176471,2.510896704879659,41.834050000000005,23.801428571428573,0.9725729956861502,5.5666916672699855,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10273.100450593965,10380.780440418555,10370.399659978139,10448.784227974123,10438.33544374615,10438.33544374615,10438.33544374615,10438.33544374615,10438.33544374615,10438.33544374615,10438.33544374615,10438.33544374615,10438.33544374615,10438.33544374615,10438.33544374615,10513.457234890486,10656.542823599484,10645.886280775885,11107.11984011714,11096.012720277024,11096.012720277024,11096.012720277024,11096.012720277024,11096.012720277024,11096.012720277024,11096.012720277024,11096.012720277024,11093.857894277357,11082.76403638308,11082.76403638308,11082.76403638308,11082.76403638308,11082.76403638308,11082.76403638308,11082.76403638308,11082.76403638308,11082.76403638308,11041.968768227707,11030.92679945948,11030.92679945948,11030.92679945948,11030.92679945948,11030.92679945948,11030.92679945948,11030.92679945948,11030.92679945948,11030.92679945948,11038.280750659122,11027.242469908462,11027.242469908462,11027.242469908462,11027.242469908462,11027.242469908462,11027.242469908462,11027.242469908462,11027.242469908462,11027.242469908462,11027.242469908462,10977.455148458208,10966.477693309751,10966.477693309751,10966.477693309751,10966.477693309751,10966.477693309751,10966.477693309751,10966.477693309751,10966.477693309751,10966.477693309751,10966.477693309751,10966.477693309751,10872.04381923076,10861.171775411529,10861.171775411529,10861.171775411529,10861.171775411529,10861.171775411529,10861.171775411529,10861.171775411529,10861.171775411529,10812.20122898555,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10801.389027756564,10914.351475306317,10903.43712383101,10903.43712383101,10903.43712383101,10903.43712383101,10903.43712383101,10903.43712383101,10903.43712383101,11080.523981945646,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11069.4434579637,11268.693440207042,11257.424746766836,11257.424746766836,11257.424746766836,11257.424746766836,11257.424746766836,11257.424746766836,11257.424746766836,11257.424746766836,11257.424746766836,11257.424746766836,11257.424746766836,10908.508288868601,10897.599780579732,10897.599780579732,10897.599780579732,10897.599780579732,10791.26692443921,10780.47565751477,10780.47565751477,10780.47565751477,10780.47565751477,10780.47565751477,10780.47565751477,10780.47565751477,10780.47565751477,10780.47565751477,10664.920398739829,10654.255478341089,10654.255478341089,10654.255478341089,10843.368513081641,10832.525144568559
HRL,NRIC,-1.0374753131193077,2.2944821270699567,0.4763239952975903,0.1,11306.812849356296,0.93986759873608,0.15066708656217537,0.03430996112079367,12,0.5833333333333334,1.5499657506648394,27.476464285714282,31.022500000000008,0.9043152371815814,11.031329431601007,11,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9865.182578674812,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9855.317396096138,9981.710706295842,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9971.728995589547,9963.241199002005,9953.277957803002,9953.277957803002,9953.277957803002,9992.259183079237,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,9982.266923896159,10062.390075223362,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10052.327685148139,10107.009758379309,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10096.902748620929,10821.601299748647,10450.31257988954,11005.163180034238,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10994.158016854206,10770.292917736528,10759.522624818792,10759.522624818792,10759.522624818792,10759.522624818792,10759.522624818792,10759.522624818792,10759.522624818792,10759.522624818792,11478.922768154789,11467.443845386633,11467.443845386633,11467.443845386633,11467.443845386633,11467.443845386633,11467.443845386633,11467.443845386633,11467.443845386633,11467.443845386633,11467.443845386633,11467.443845386633,11555.118567351505,11318.130980336631,11306.812849356296
HRL,SJLIC,-1.4591618797931263,2.8193425551921556,-0.4791096322414983,0.05,9951.45253329043,-0.7530302794784387,-0.0714017690502446,0.04425403498911498,8,0.625,1.3488713318284427,23.902000000000008,29.533333333333342,1.4403662956549141,9.896165180496096,9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10231.935483870966,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10221.703548387095,10134.174843212251,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10124.040668369038,10078.205725872207,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,10068.127520146334,9871.940838116441,9862.068897278325,9862.068897278325,9862.068897278325,9862.068897278325,9862.068897278325,9862.068897278325,9862.068897278325,9862.068897278325,10174.496661625437,10398.850752569124,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10388.451901816556,10412.235989065453,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10401.823753076387,10079.42608387167,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,10069.346657787799,9961.413947237668,9951.45253329043,9951.45253329043,9951.45253329043,9951.45253329043,9951.45253329043
ALICL,HRL,-1.9237200550115596,1.4780259253247112,0.19849493987811617,0.15000000000000002,9875.757256787,-0.472031414884415,-0.041493758559104615,0.1327039915195314,14,0.6428571428571429,1.4111960588675478,31.430472222222225,50.11250000000001,0.9387324227078908,9.006250540552935,9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9890.089151218912,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,9880.199062067693,10343.550277560158,10590.204168794286,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10579.613964625492,10685.660016412647,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,10674.974356396235,11164.017141340939,11386.83582101301,11375.448985191999,11375.448985191999,11375.448985191999,11375.448985191999,11375.448985191999,11375.448985191999,11375.448985191999,11375.448985191999,11375.448985191999,11375.448985191999,11375.448985191999,11286.951848171608,11275.664896323437,11275.664896323437,11275.664896323437,11275.664896323437,11224.616163009747,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11213.391546846737,11339.900479388969,11237.46052031949,11226.22305979917,11226.22305979917,11007.469825950828,10996.462356124879,10996.462356124879,10996.462356124879,10996.462356124879,10996.462356124879,10996.462356124879,10996.462356124879,10996.462356124879,10996.462356124879,10965.435907692023,10954.47047178433,10954.47047178433,10954.47047178433,11069.033866633305,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,11057.964832766671,10489.722593414654,10479.23287082124,10479.23287082124,10479.23287082124,10479.23287082124,10479.23287082124,10479.23287082124,10479.23287082124,10479.23287082124,10479.23287082124,10479.23287082124,10479.23287082124,10002.757382306525,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9992.754624924217,9885.642899686687,9875.757256787,9875.757256787,9875.757256787,9875.757256787,9875.757256787
