Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Hedge Ratio,Half Life,Rolling Window,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101,Timestep 102,Timestep 103,Timestep 104,Timestep 105,Timestep 106,Timestep 107,Timestep 108,Timestep 109,Timestep 110,Timestep 111,Timestep 112,Timestep 113,Timestep 114,Timestep 115,Timestep 116,Timestep 117,Timestep 118,Timestep 119,Timestep 120,Timestep 121,Timestep 122,Timestep 123,Timestep 124,Timestep 125,Timestep 126,Timestep 127,Timestep 128,Timestep 129,Timestep 130,Timestep 131,Timestep 132,Timestep 133,Timestep 134,Timestep 135,Timestep 136,Timestep 137,Timestep 138,Timestep 139,Timestep 140,Timestep 141,Timestep 142,Timestep 143,Timestep 144,Timestep 145,Timestep 146,Timestep 147,Timestep 148,Timestep 149,Timestep 150,Timestep 151,Timestep 152,Timestep 153,Timestep 154,Timestep 155,Timestep 156,Timestep 157,Timestep 158,Timestep 159,Timestep 160,Timestep 161,Timestep 162,Timestep 163,Timestep 164,Timestep 165,Timestep 166,Timestep 167,Timestep 168,Timestep 169,Timestep 170,Timestep 171,Timestep 172,Timestep 173,Timestep 174,Timestep 175,Timestep 176,Timestep 177,Timestep 178,Timestep 179,Timestep 180,Timestep 181,Timestep 182,Timestep 183,Timestep 184,Timestep 185,Timestep 186,Timestep 187,Timestep 188,Timestep 189,Timestep 190,Timestep 191,Timestep 192,Timestep 193,Timestep 194,Timestep 195,Timestep 196,Timestep 197,Timestep 198,Timestep 199,Timestep 200,Timestep 201,Timestep 202,Timestep 203,Timestep 204,Timestep 205,Timestep 206,Timestep 207,Timestep 208,Timestep 209,Timestep 210,Timestep 211,Timestep 212,Timestep 213,Timestep 214,Timestep 215,Timestep 216,Timestep 217,Timestep 218,Timestep 219,Timestep 220,Timestep 221,Timestep 222,Timestep 223,Timestep 224,Timestep 225,Timestep 226,Timestep 227,Timestep 228,Timestep 229,Timestep 230,Timestep 231,Timestep 232,Timestep 233,Timestep 234,Timestep 235,Timestep 236,Timestep 237,Timestep 238,Timestep 239,Timestep 240,Timestep 241,Timestep 242,Timestep 243,Timestep 244,Timestep 245,Timestep 246,Timestep 247,Timestep 248,Timestep 249,Timestep 250,Timestep 251,Timestep 252,Timestep 253,Timestep 254,Timestep 255,Timestep 256,Timestep 257,Timestep 258,Timestep 259,Timestep 260,Timestep 261,Timestep 262,Timestep 263,Timestep 264,Timestep 265,Timestep 266,Timestep 267,Timestep 268,Timestep 269,Timestep 270,Timestep 271,Timestep 272,Timestep 273,Timestep 274,Timestep 275,Timestep 276,Timestep 277,Timestep 278,Timestep 279,Timestep 280,Timestep 281,Timestep 282,Timestep 283,Timestep 284,Timestep 285,Timestep 286,Timestep 287,Timestep 288,Timestep 289,Timestep 290,Timestep 291,Timestep 292,Timestep 293,Timestep 294,Timestep 295,Timestep 296,Timestep 297,Timestep 298,Timestep 299,Timestep 300,Timestep 301,Timestep 302,Timestep 303,Timestep 304,Timestep 305,Timestep 306,Timestep 307,Timestep 308,Timestep 309,Timestep 310,Timestep 311,Timestep 312,Timestep 313,Timestep 314,Timestep 315,Timestep 316,Timestep 317,Timestep 318,Timestep 319,Timestep 320,Timestep 321,Timestep 322,Timestep 323,Timestep 324,Timestep 325,Timestep 326,Timestep 327,Timestep 328,Timestep 329,Timestep 330,Timestep 331,Timestep 332,Timestep 333,Timestep 334,Timestep 335,Timestep 336,Timestep 337,Timestep 338,Timestep 339,Timestep 340,Timestep 341,Timestep 342,Timestep 343,Timestep 344,Timestep 345,Timestep 346,Timestep 347,Timestep 348,Timestep 349,Timestep 350,Timestep 351,Timestep 352,Timestep 353,Timestep 354,Timestep 355,Timestep 356,Timestep 357,Timestep 358,Timestep 359,Timestep 360,Timestep 361,Timestep 362,Timestep 363,Timestep 364,Timestep 365,Timestep 366,Timestep 367,Timestep 368,Timestep 369,Timestep 370,Timestep 371,Timestep 372,Timestep 373,Timestep 374,Timestep 375,Timestep 376,Timestep 377,Timestep 378,Timestep 379,Timestep 380,Timestep 381,Timestep 382,Timestep 383,Timestep 384,Timestep 385,Timestep 386,Timestep 387,Timestep 388,Timestep 389,Timestep 390,Timestep 391,Timestep 392,Timestep 393,Timestep 394,Timestep 395,Timestep 396,Timestep 397,Timestep 398,Timestep 399,Timestep 400,Timestep 401,Timestep 402,Timestep 403,Timestep 404,Timestep 405,Timestep 406,Timestep 407,Timestep 408,Timestep 409,Timestep 410,Timestep 411,Timestep 412,Timestep 413,Timestep 414,Timestep 415,Timestep 416,Timestep 417,Timestep 418,Timestep 419,Timestep 420,Timestep 421,Timestep 422,Timestep 423,Timestep 424
NIL,PRIN,-2.6166512259571473,1.0080061306303059,-0.06762792343046131,0.1,12568.455036740917,1.047231118797753,0.40298372802913923,0.02198861351511529,15,0.7333333333333333,2.2893864423552683,37.856045454545466,45.47250000000004,1.1545017645597153,218.6962187349909,30,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9918.292438657987,9908.37414621933,9908.37414621933,9908.37414621933,9908.37414621933,9908.37414621933,9908.37414621933,9908.37414621933,9908.37414621933,9908.37414621933,9908.37414621933,9908.37414621933,10403.315989335551,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10392.912673346214,10357.457617668382,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10347.100160050713,10869.530574906825,10959.848529993164,10948.888681463171,10948.888681463171,10948.888681463171,10948.888681463171,10948.888681463171,10948.888681463171,10948.888681463171,10948.888681463171,10948.888681463171,10948.888681463171,11551.63546409939,11540.08382863529,11540.08382863529,11540.08382863529,11540.08382863529,11540.08382863529,11540.08382863529,11540.08382863529,11540.08382863529,11540.08382863529,11540.08382863529,12045.263916238087,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12033.218652321848,12195.712473840942,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12183.516761367102,12128.764330620234,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12116.635566289613,12059.768973736036,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12047.709204762301,12507.666178726144,12495.158512547418,12495.158512547418,12495.158512547418,12495.158512547418,12495.158512547418,12652.324561834484,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12639.67223727265,12500.63584266265,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12488.135206819989,12386.50399096747,12374.117486976504,12374.117486976504,12374.117486976504,12374.117486976504,12374.117486976504,12374.117486976504,12395.412256147538,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12383.01684389139,12581.036072813731,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917,12568.455036740917
DHPL,NYADI,-1.0691304362122294,1.2725335114609877,0.09356356830660084,0.05,15073.2789491556,0.9195198614365392,0.10304166910169345,0.15202819241355048,78,0.5512820512820513,2.199117354549975,10.284709302325581,5.9147058823529415,0.6874847737529726,5.171332349453396,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10194.08163265306,10183.887551020407,10183.887551020407,10142.843398163264,10132.700554765099,10132.700554765099,10132.700554765099,10132.700554765099,10132.700554765099,10132.700554765099,10132.700554765099,10132.700554765099,10132.700554765099,10720.936212983674,10710.215276770688,10710.215276770688,10710.215276770688,10710.215276770688,10180.221896559582,10170.041674663024,10170.041674663024,10170.041674663024,9836.090714366435,9826.254623652068,9826.254623652068,9826.254623652068,9826.254623652068,9499.452413426738,9489.952961013312,9489.952961013312,9489.952961013312,9489.952961013312,9489.952961013312,10064.460113345423,10054.395653232077,10054.395653232077,9559.792069471276,9550.232277401805,9550.232277401805,9550.232277401805,9678.723750608971,9983.337900605236,10446.341086144927,10435.89474505878,10435.89474505878,10435.89474505878,10435.89474505878,10435.89474505878,10435.89474505878,10435.89474505878,10435.89474505878,10435.89474505878,10435.89474505878,10435.89474505878,10250.380927688408,10240.13054676072,10240.13054676072,10240.13054676072,10269.9604922665,10259.690531774235,10259.690531774235,10259.690531774235,10259.690531774235,10290.020000376076,10403.562682417207,10393.15911973479,10295.753465659134,10285.457712193476,10285.457712193476,10285.457712193476,10285.457712193476,10285.457712193476,10285.457712193476,10285.457712193476,10285.457712193476,10204.400756461602,10396.092663512547,10385.696570849035,10385.696570849035,10385.696570849035,10385.696570849035,10480.216900246358,10469.736683346111,10469.736683346111,10469.736683346111,10469.736683346111,10469.736683346111,10469.736683346111,10469.736683346111,10186.598099754357,10176.411501654604,10176.411501654604,10176.411501654604,10176.411501654604,10176.411501654604,10176.411501654604,10176.411501654604,10176.411501654604,10171.201616020031,10161.030414404011,10161.030414404011,10161.030414404011,10161.030414404011,10161.030414404011,10161.030414404011,10161.030414404011,10161.030414404011,10161.030414404011,10161.030414404011,10161.030414404011,10050.76070995607,10040.709949246113,10040.709949246113,10040.709949246113,10040.709949246113,10040.709949246113,10040.709949246113,10040.709949246113,9857.553550516763,9847.695996966246,9847.695996966246,9847.695996966246,10203.108297947663,10192.905189649715,10192.905189649715,10192.905189649715,10192.905189649715,10192.905189649715,10192.905189649715,10144.165371263118,10365.928708815374,10258.814112157617,10248.55529804546,10248.55529804546,10248.55529804546,9905.294175560102,9895.38888138454,9895.38888138454,9895.38888138454,9622.318256296121,9612.695938039826,9612.695938039826,9612.695938039826,9612.695938039826,9612.695938039826,9612.695938039826,9767.872315325325,9912.963632188923,9903.050668556732,9903.050668556732,9714.662402350235,9704.947739947886,9704.947739947886,9704.947739947886,9704.947739947886,9860.772538877924,10024.792097009074,10014.767304912064,10014.767304912064,10014.767304912064,10014.767304912064,10014.767304912064,10014.767304912064,10605.63857590188,10717.831557566451,10462.985340530982,10452.52235519045,10344.512957520148,10334.168444562629,10334.168444562629,10334.168444562629,9654.859120769566,10493.315812017885,11519.28132490357,11139.976329524789,11128.836353195264,11128.836353195264,11128.836353195264,10949.528124323744,10938.57859619942,10938.57859619942,10938.57859619942,10938.57859619942,10938.57859619942,10938.57859619942,10938.57859619942,10938.57859619942,10500.238602255029,10489.738363652774,10489.738363652774,10489.738363652774,10489.738363652774,10489.738363652774,10489.738363652774,10489.738363652774,10489.738363652774,10489.738363652774,10463.669805937161,10790.320987395091,10779.530666407694,10707.661575035218,10696.953913460182,10696.953913460182,10696.953913460182,11315.489542691437,11450.01814058788,11438.56812244729,11438.56812244729,11438.56812244729,11438.56812244729,11438.56812244729,11438.56812244729,11827.079488676149,11455.808221802157,11432.896605358554,11432.896605358554,11432.896605358554,11477.82305821623,11466.345235158013,11466.345235158013,11466.345235158013,11466.345235158013,11466.345235158013,11674.330473370857,11662.656142897487,12009.024080298797,11997.015056218499,13155.458534451891,13142.303075917438,13142.303075917438,13270.475859679345,13257.205383819666,13257.205383819666,13257.205383819666,13401.772052052747,13388.370280000694,13388.370280000694,13388.370280000694,13388.370280000694,13388.370280000694,13388.370280000694,13388.370280000694,13388.370280000694,13388.370280000694,13388.370280000694,14200.292406433065,14186.092114026635,14186.092114026635,14186.092114026635,14186.092114026635,14186.092114026635,13961.741694297398,13947.779952603101,14062.428725404996,14048.366296679591,14048.366296679591,14048.366296679591,14048.366296679591,14048.366296679591,14048.366296679591,14048.366296679591,13967.737995327556,13953.770257332228,13953.770257332228,13953.770257332228,13953.770257332228,13953.770257332228,13953.770257332228,13953.770257332228,13953.770257332228,13953.770257332228,13953.770257332228,13953.770257332228,14418.480123760928,14404.061643637167,14404.061643637167,14404.061643637167,14404.061643637167,14404.061643637167,14404.061643637167,14404.061643637167,14560.45673191808,14545.896275186164,14545.896275186164,14679.77789192308,14665.098114031156,14665.098114031156,14665.098114031156,14665.098114031156,14665.098114031156,14665.098114031156,14665.098114031156,14472.674250898564,14458.201576647667,14458.201576647667,14458.201576647667,14458.201576647667,14458.201576647667,14458.201576647667,14458.201576647667,14458.201576647667,14458.201576647667,14539.177048844274,14524.63787179543,14524.63787179543,14524.63787179543,14524.63787179543,14524.63787179543,14524.63787179543,14524.63787179543,14569.397470135045,14554.828072664912,14665.919205164286,14651.253285959123,14651.253285959123,14651.253285959123,14651.253285959123,14651.253285959123,14651.253285959123,14651.253285959123,14651.253285959123,15200.11177444082,15184.91166266638,15184.91166266638,15184.91166266638,15184.91166266638,15460.860274304083,15445.399414029778,15445.399414029778,15445.399414029778,15445.399414029778,15349.08804909727,15318.389872999076,15215.19229911782,15199.9771068187,15199.9771068187,15199.9771068187,15664.776406769319,15640.32427279685,15609.043624251257,15609.043624251257,15609.043624251257,15609.043624251257,15430.575305773391,15415.144730467619,15415.144730467619,15415.144730467619,15112.302942087605,15097.190639145518,15097.190639145518,15097.190639145518,15097.190639145518,15097.190639145518,15097.190639145518,15097.190639145518,15097.190639145518,14989.755891080405,14974.766135189326,14974.766135189326,14959.791369054135,14944.831577685083,14944.831577685083,14944.831577685083,14944.831577685083,14944.831577685083,14566.363815839382,14551.797452023542,14551.797452023542,14551.797452023542,14551.797452023542,14661.090739269594,14646.429648530324,14646.429648530324,14646.429648530324,14646.429648530324,14323.437331544314,14309.113894212769,14309.113894212769,14309.113894212769,14309.113894212769,14309.113894212769,14489.751836098021,14475.262084261924,14475.262084261924,14475.262084261924,14475.262084261924,14475.262084261924,14475.262084261924,14475.262084261924,14475.262084261924,14091.809553363142,14077.717743809779,14077.717743809779,14077.717743809779,14330.888715786536,14316.55782707075,14316.55782707075,14316.55782707075,14316.55782707075,14316.55782707075,14316.55782707075,14316.55782707075,14179.527916440216,14165.348388523775,14165.348388523775,14165.348388523775,13357.397263564722,13808.201754615997,13794.39355286138,13296.58535043619,13283.288765085754,13283.288765085754,13283.288765085754,13283.288765085754,14597.898977910692,15073.2789491556
NIL,NLG,-1.3550662527145556,2.438389535485344,-0.369552027311168,0.05,12203.793637150942,0.7452789904238273,0.0966968235075033,0.06253783858943555,32,0.75,3.3737244027303763,16.47502083333333,14.649999999999991,1.0565297243621203,-192.7461126610918,5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10021.204561420707,10011.183356859287,10011.183356859287,10011.183356859287,10011.183356859287,10011.183356859287,10011.183356859287,10387.253551407675,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10376.866297856268,10724.787603861552,10496.82735592222,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10486.3305285663,10515.747568373441,10425.985696972817,10415.559711275844,10415.559711275844,10415.559711275844,10415.559711275844,10415.559711275844,10473.93912984248,10480.481905466897,10470.00142356143,10470.00142356143,10470.00142356143,10470.00142356143,10470.00142356143,10470.00142356143,10470.00142356143,10470.00142356143,10470.00142356143,10470.00142356143,10460.927422327677,10509.73578626937,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10499.2260504831,10485.882276599918,10534.532223639319,10523.997691415681,10523.997691415681,10523.997691415681,10523.997691415681,10523.997691415681,10523.997691415681,10523.997691415681,10523.997691415681,10523.997691415681,10523.997691415681,10523.997691415681,10716.97641151407,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,10706.259435102556,11084.871700580272,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11073.786828879693,11278.320181921858,11267.041861739935,11267.041861739935,11267.041861739935,11267.041861739935,11267.041861739935,11267.041861739935,11267.041861739935,11267.041861739935,11267.041861739935,11187.48971768583,11176.302227968145,11176.302227968145,11176.302227968145,11176.302227968145,11176.302227968145,11176.302227968145,11176.302227968145,11176.302227968145,11176.302227968145,11078.732423855268,11067.653691431415,11067.653691431415,11067.653691431415,11067.653691431415,11067.653691431415,11067.653691431415,11067.653691431415,11067.653691431415,11067.653691431415,11067.653691431415,11155.27849103937,11144.12321254833,11144.12321254833,11144.12321254833,11144.12321254833,11144.12321254833,11144.12321254833,11144.12321254833,11144.12321254833,11144.12321254833,11481.36679771013,11469.885430912422,11469.885430912422,11469.885430912422,11469.885430912422,11469.885430912422,12072.143065566004,12157.002328559623,12144.845326231063,12144.845326231063,12144.845326231063,12144.845326231063,12144.845326231063,12144.845326231063,11935.223321128718,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,11923.28809780759,12349.969902062168,12206.166787824535,12193.960621036711,12193.960621036711,12193.960621036711,12260.485285618468,12248.22480033285,12248.22480033285,12248.22480033285,12248.22480033285,12248.22480033285,12248.22480033285,12248.22480033285,12248.22480033285,12248.22480033285,12248.22480033285,12248.22480033285,12249.981660426813,12363.838088955956,12351.474250867,12351.474250867,12351.474250867,12351.474250867,12351.474250867,12351.474250867,12351.474250867,12354.112429833207,12404.277613639197,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12391.873336025556,12424.984057558659,12412.5590735011,12412.5590735011,12412.5590735011,12412.5590735011,12412.5590735011,12412.5590735011,12412.5590735011,12412.5590735011,12412.5590735011,12645.079252351554,12414.563088502817,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12402.148525414314,12310.195430492706,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12297.885235062213,12346.770858459304,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12334.424087600844,12348.225175103575,12288.204199998718,12275.915995798718,12275.915995798718,12275.915995798718,12275.915995798718,12333.558651276808,12321.225092625531,12321.225092625531,12321.225092625531,12321.225092625531,12321.225092625531,12321.225092625531,12321.225092625531,12321.225092625531,12321.225092625531,12199.86647733268,12187.666610855345,12187.666610855345,12187.666610855345,12187.666610855345,12187.666610855345,12228.189316717602,12821.499880773084,12808.678380892312,13017.905297413125,12465.053297998598,12452.5882447006,12452.5882447006,12452.5882447006,12452.5882447006,12437.677585345615,12425.239907760268,12425.239907760268,12425.239907760268,12425.239907760268,12425.239907760268,12277.559805971927,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12265.282246165956,12216.009646797738,12203.793637150942,12203.793637150942,12203.793637150942,12203.793637150942,12203.793637150942,12203.793637150942,12203.793637150942,12203.793637150942,12203.793637150942,12203.793637150942
