Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Hedge Ratio,Half Life,Rolling Window,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101,Timestep 102,Timestep 103,Timestep 104,Timestep 105,Timestep 106,Timestep 107,Timestep 108,Timestep 109,Timestep 110,Timestep 111,Timestep 112,Timestep 113,Timestep 114,Timestep 115,Timestep 116,Timestep 117,Timestep 118,Timestep 119,Timestep 120,Timestep 121,Timestep 122,Timestep 123,Timestep 124,Timestep 125,Timestep 126,Timestep 127,Timestep 128,Timestep 129,Timestep 130,Timestep 131,Timestep 132,Timestep 133,Timestep 134,Timestep 135,Timestep 136,Timestep 137,Timestep 138,Timestep 139,Timestep 140,Timestep 141,Timestep 142,Timestep 143,Timestep 144,Timestep 145,Timestep 146,Timestep 147,Timestep 148,Timestep 149,Timestep 150,Timestep 151,Timestep 152,Timestep 153,Timestep 154,Timestep 155,Timestep 156,Timestep 157,Timestep 158,Timestep 159,Timestep 160,Timestep 161,Timestep 162,Timestep 163,Timestep 164,Timestep 165,Timestep 166,Timestep 167,Timestep 168,Timestep 169,Timestep 170,Timestep 171,Timestep 172,Timestep 173,Timestep 174,Timestep 175,Timestep 176,Timestep 177,Timestep 178,Timestep 179,Timestep 180,Timestep 181,Timestep 182,Timestep 183,Timestep 184,Timestep 185,Timestep 186,Timestep 187,Timestep 188,Timestep 189,Timestep 190,Timestep 191,Timestep 192,Timestep 193,Timestep 194,Timestep 195,Timestep 196,Timestep 197,Timestep 198,Timestep 199,Timestep 200,Timestep 201,Timestep 202,Timestep 203,Timestep 204,Timestep 205,Timestep 206,Timestep 207,Timestep 208,Timestep 209,Timestep 210,Timestep 211,Timestep 212,Timestep 213,Timestep 214,Timestep 215,Timestep 216,Timestep 217,Timestep 218,Timestep 219,Timestep 220,Timestep 221,Timestep 222,Timestep 223,Timestep 224,Timestep 225,Timestep 226,Timestep 227,Timestep 228,Timestep 229,Timestep 230
LICN,NLG,-1.6212251825312494,2.090504917817873,0.04143805067353146,0.05,12572.695076549924,1.8996990948217893,0.7091703136570553,0.018384681616740124,11,0.7272727272727273,1.5539594001463055,53.10656250000001,91.13333333333337,1.7975423338222716,16.891376469947996,16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10138.71563767463,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10128.576922036953,10735.601777640464,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10724.866175862824,10779.72502371202,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,10768.945298688308,11190.970845299078,11179.77987445378,11179.77987445378,11179.77987445378,11179.77987445378,11179.77987445378,11179.77987445378,11547.418384793631,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11535.870966408836,11490.223413913127,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11478.733190499215,11542.115760725019,11530.573644964292,11530.573644964292,11530.573644964292,11530.573644964292,11530.573644964292,11530.573644964292,11530.573644964292,11530.573644964292,11530.573644964292,11530.573644964292,11530.573644964292,12184.129450840781,12499.212338465193,12486.713126126728,12731.867109598632,12719.135242489032,12719.135242489032,12719.135242489032,12719.135242489032,12719.135242489032,12719.135242489032,12719.135242489032,12808.169189186458,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12795.361019997272,12585.280356906831,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924,12572.695076549924
NLG,NLIC,-2.326602018700785,1.3943083885604963,0.44853156014195894,0.05,10499.422816672044,0.08679052869845295,0.009421384039677232,0.0424718593838996,12,0.6666666666666666,2.4623717008797663,41.98343750000001,34.099999999999994,1.243393654408955,92.44525465262994,30,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10005.337423312885,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,9995.332085889571,10096.917066686125,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10086.820149619438,10110.581719233645,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,10100.47113751441,9969.92211788865,9959.952195770762,9959.952195770762,9959.952195770762,9959.952195770762,9959.952195770762,9959.952195770762,9959.952195770762,9981.163235457656,10054.62066340728,10044.566042743874,10044.566042743874,10044.566042743874,10044.566042743874,10044.566042743874,10044.566042743874,10021.23501368163,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10011.213778667947,10228.730150768095,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10218.501420617327,10629.044742398599,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10618.4156976562,10716.716252209897,10705.999535957686,10705.999535957686,10705.999535957686,10705.999535957686,10649.569316316967,10638.919747000651,10638.919747000651,10638.919747000651,10638.919747000651,10638.919747000651,10638.919747000651,10271.82921570459,10261.557386488887,10261.557386488887,10261.557386488887,10261.557386488887,10509.932749421465,10499.422816672044,10499.422816672044,10499.422816672044,10499.422816672044
NIL,NLIC,-1.1730646098109314,1.4335276846021237,-0.13278325260881063,0.05,10526.58585749475,0.133805432116382,0.01665539896915007,0.02480312463292356,13,0.5384615384615384,1.7326142131979694,39.00857142857143,26.26666666666667,1.2382617266514815,47.86185955134474,30,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9918.048780487805,9908.130731707317,9908.130731707317,9908.130731707317,9908.130731707317,9908.130731707317,9908.130731707317,10207.970698161593,10197.76272746343,10197.76272746343,10197.76272746343,10197.76272746343,10197.76272746343,10197.76272746343,10256.624306005471,10246.367681699465,10246.367681699465,10246.367681699465,10246.367681699465,10246.367681699465,10246.367681699465,10246.367681699465,10246.367681699465,10246.367681699465,10246.367681699465,10246.367681699465,10510.433519669561,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10499.92308614989,10471.923291253492,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10461.451367962238,10657.422120545154,10463.140375471246,10442.214094720304,10525.368709728615,10504.317972309158,10504.317972309158,10504.317972309158,10504.317972309158,10504.317972309158,10548.618791583682,10538.070172792099,10538.070172792099,10538.070172792099,10794.318689272268,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10783.524370582996,10655.891510927459,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10645.235619416531,10742.724831398411,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10731.982106567013,10537.122980475226,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475,10526.58585749475
ALICL,NIL,-2.8296423271528273,1.0018213935003006,-0.4572943912963886,0.05,10933.200900127638,0.7918799836643056,0.26429112026996343,0.012977011000000002,6,0.8333333333333334,inf,66.6925,0.0,0.737036184417722,16.930836422758016,16,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10455.90909090909,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10445.45318181818,10618.483284222511,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10607.864800938289,10491.178288127967,10480.687109839839,10480.687109839839,10480.687109839839,10480.687109839839,10602.873348171011,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10592.27047482284,10611.97947560684,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10601.367496131234,10944.14504517281,10933.200900127638,10933.200900127638,10933.200900127638
ILI,NLG,-1.2077978583294,1.610778551061801,0.2628934368392726,0.1,10665.898284099294,0.2298215915619652,0.02320426768250213,0.05040070954782272,30,0.6333333333333333,2.4377032442012796,16.649513157894745,11.79727272727273,0.5201740249093458,-396.7956185276648,5,10000.0,10000.0,10000.0,10000.0,10000.0,9646.268627061396,9636.622358434333,9636.622358434333,9636.622358434333,9636.622358434333,9636.622358434333,9636.622358434333,9636.622358434333,9636.622358434333,9636.622358434333,9636.622358434333,9505.498402924699,9495.992904521772,9495.992904521772,9495.992904521772,9627.717175632222,9618.08945845659,9618.08945845659,9618.08945845659,9618.08945845659,9618.08945845659,9618.08945845659,9618.08945845659,9618.08945845659,9764.198602579392,9754.434403976813,9754.434403976813,9754.434403976813,9754.434403976813,9901.063687472264,9824.628256953987,9814.803628697035,9814.803628697035,10351.520813673276,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10341.169292859602,10367.369357817131,10357.001988459313,10357.001988459313,10357.001988459313,10357.001988459313,10357.001988459313,10357.001988459313,10357.001988459313,10357.001988459313,10357.001988459313,10320.88484204081,10331.358453523835,10310.695736616788,10310.695736616788,10310.695736616788,10310.695736616788,10310.695736616788,10310.695736616788,10310.695736616788,10310.695736616788,10310.695736616788,10304.237346404781,10293.933109058375,10293.933109058375,10293.933109058375,10432.52136557252,10422.088844206946,10422.088844206946,10422.088844206946,10422.088844206946,10422.088844206946,10422.088844206946,10422.088844206946,10422.088844206946,10422.088844206946,10422.088844206946,10214.030964183374,10203.81693321919,10203.81693321919,10203.81693321919,10203.81693321919,10203.81693321919,10193.613116285971,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10183.419503169685,10638.763832382843,10460.520936699313,10450.060415762615,10450.060415762615,10450.060415762615,10450.060415762615,10450.060415762615,10450.060415762615,10450.060415762615,10450.060415762615,10450.060415762615,10509.286714966553,10498.777428251587,10498.777428251587,10498.777428251587,10498.777428251587,10298.083407557908,10287.785324150349,10287.785324150349,10287.785324150349,10287.785324150349,10389.114156526695,10375.846613788432,10355.094920560854,10355.094920560854,10355.094920560854,10355.094920560854,10355.094920560854,10355.094920560854,10355.094920560854,10355.094920560854,10332.881036221419,10322.548155185199,10322.548155185199,10322.548155185199,10322.548155185199,10322.548155185199,10322.548155185199,10322.548155185199,10314.58289137694,10304.268308485562,10304.268308485562,10270.00062550618,10201.581833460265,10191.380251626804,10191.380251626804,10191.380251626804,10229.603979458916,10219.374375479458,10219.374375479458,10219.374375479458,10219.374375479458,10219.374375479458,10219.374375479458,10219.374375479458,10382.817572190557,10372.434754618367,10372.434754618367,10372.434754618367,10576.583129561537,10566.006546431974,10566.006546431974,10566.006546431974,10566.006546431974,10566.006546431974,10566.006546431974,10566.006546431974,10566.006546431974,10566.006546431974,10617.83821634085,10607.22037812451,10607.22037812451,10607.22037812451,10607.22037812451,10607.22037812451,10607.22037812451,10607.22037812451,10607.22037812451,10607.22037812451,10607.22037812451,10607.22037812451,10681.47092077138,10670.78944985061,10670.78944985061,10527.699349751114,10517.171650401362,10517.171650401362,10517.171650401362,10517.171650401362,10517.171650401362,10517.171650401362,10517.171650401362,10976.637323108522,10965.660685785415,10965.660685785415,10965.660685785415,10965.660685785415,10965.660685785415,10965.660685785415,10965.660685785415,10965.660685785415,10965.660685785415,11180.325903407971,10653.948946762035,10676.574858958253,10665.898284099294,10665.898284099294,10665.898284099294,10665.898284099294,10665.898284099294,10665.898284099294,10665.898284099294,10665.898284099294,10665.898284099294,10665.898284099294
