Stock A,Stock B,Best Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Hedge Ratio,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101,Timestep 102,Timestep 103,Timestep 104,Timestep 105,Timestep 106,Timestep 107,Timestep 108,Timestep 109,Timestep 110,Timestep 111,Timestep 112,Timestep 113,Timestep 114,Timestep 115,Timestep 116,Timestep 117,Timestep 118,Timestep 119,Timestep 120,Timestep 121,Timestep 122,Timestep 123,Timestep 124,Timestep 125,Timestep 126,Timestep 127,Timestep 128,Timestep 129,Timestep 130,Timestep 131,Timestep 132,Timestep 133,Timestep 134,Timestep 135,Timestep 136,Timestep 137,Timestep 138,Timestep 139,Timestep 140,Timestep 141,Timestep 142,Timestep 143,Timestep 144,Timestep 145,Timestep 146,Timestep 147,Timestep 148,Timestep 149,Timestep 150,Timestep 151,Timestep 152,Timestep 153,Timestep 154,Timestep 155,Timestep 156,Timestep 157,Timestep 158,Timestep 159,Timestep 160,Timestep 161,Timestep 162,Timestep 163,Timestep 164,Timestep 165,Timestep 166,Timestep 167,Timestep 168,Timestep 169,Timestep 170,Timestep 171,Timestep 172,Timestep 173,Timestep 174,Timestep 175,Timestep 176
NLG,SHIVM,9.0,-1.5592197489309463,1.5005413858419439,-0.28780635336595684,0.05,12665.512295774277,2.4766948678937046,0.8307439864642873,0.022808244100620902,20,0.5,3.0488917008464957,34.937250000000006,11.459000000000003,1.6222403258043148,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9941.178668040706,9931.237489372666,9931.237489372666,9931.237489372666,9931.237489372666,9882.052348763244,9872.17029641448,9872.17029641448,9872.17029641448,9872.17029641448,9872.17029641448,9872.17029641448,9872.17029641448,9872.17029641448,9872.17029641448,9872.17029641448,9835.43507769245,9825.599642614758,9825.599642614758,9825.599642614758,9825.599642614758,9825.599642614758,9825.599642614758,9825.599642614758,10141.125024515679,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10130.983899491162,10394.987775206579,10384.592787431373,10384.592787431373,10384.592787431373,10384.592787431373,10384.592787431373,10384.592787431373,10384.592787431373,10374.208194643941,10363.833986449297,10363.833986449297,10363.833986449297,10363.833986449297,10363.833986449297,10363.833986449297,10363.833986449297,10374.239358848517,10363.86511948967,10363.86511948967,10363.86511948967,10363.86511948967,10363.86511948967,10363.86511948967,10363.86511948967,10363.86511948967,10363.86511948967,10251.695113707217,10241.44341859351,10241.44341859351,10241.44341859351,10241.44341859351,10191.196336821036,10250.744895808735,10240.494150912926,10240.494150912926,10240.494150912926,10168.064421027724,10157.896356606698,10157.896356606698,10157.896356606698,10157.896356606698,10276.500526742288,10266.224026215545,10266.224026215545,10266.224026215545,10266.224026215545,10266.224026215545,10266.224026215545,10266.224026215545,10266.224026215545,10202.151596601198,10191.949445004595,10191.949445004595,10191.949445004595,10191.949445004595,10191.949445004595,10191.949445004595,10354.954022076008,10443.383732259392,10432.940348527134,10432.940348527134,10488.256778132733,10477.768521354601,10477.768521354601,10477.768521354601,10477.768521354601,10477.768521354601,10477.768521354601,10477.768521354601,10898.72828018314,10887.829551902956,10887.829551902956,11318.599711228953,11307.281111517725,11307.281111517725,11307.281111517725,11720.495776084112,11781.635681885127,11769.854046203243,11769.854046203243,11769.854046203243,12160.57661031736,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12148.41603370704,12703.584952580746,12690.881367628166,12690.881367628166,12690.881367628166,12690.881367628166,12690.881367628166,12690.881367628166,12690.881367628166,12690.881367628166,12690.881367628166,12690.881367628166,12690.881367628166,12678.190486260539,12665.512295774277,12665.512295774277,12665.512295774277,12665.512295774277,12665.512295774277,12665.512295774277,12665.512295774277,12665.512295774277,12665.512295774277,12665.512295774277
NTC,SICL,13.0,-2.780772413207083,1.0294114873834643,0.2551968908633202,0.05,11535.721112114883,1.4383981649919924,0.299236046684729,0.03241212027360982,14,0.6428571428571429,5.992888692579501,37.6886111111111,14.150000000000006,1.1667466141846192,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9934.1492984607,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,9924.215149162239,10189.720693659428,10240.6794883043,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10230.438808815996,10292.253713731236,10402.661526296719,10392.258864770423,10392.258864770423,10392.258864770423,10392.258864770423,10353.492857029285,10343.139364172255,10343.139364172255,10343.139364172255,10343.139364172255,10343.139364172255,10343.139364172255,10343.139364172255,10343.139364172255,10343.139364172255,10323.723295541266,10384.650484296866,10374.265833812571,10379.147841263779,10283.708452450279,10273.42474399783,10273.42474399783,10240.65476871953,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10230.41411395081,10185.656990428073,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10175.471333437645,10572.780412070246,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10562.207631658175,10815.700614817972,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,10804.884914203152,11360.893664132393,11922.14304645579,11910.220903409334,11910.220903409334,11910.220903409334,11830.998015347093,11819.167017331747,11819.167017331747,11819.167017331747,11819.167017331747,11819.167017331747,11819.167017331747,11547.26838049538,11535.721112114883,11535.721112114883,11535.721112114883,11535.721112114883,11535.721112114883,11535.721112114883,11535.721112114883,11535.721112114883,11535.721112114883
HRL,NTC,9.0,-1.5110732841765817,2.9108991044165204,-0.12814295778802787,0.05,10818.80033142154,0.6946455542620218,0.11747565704082327,0.035163680717424345,11,0.7272727272727273,2.1026685750636136,20.65871875000001,26.200000000000006,0.7447333689710671,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10273.100450593965,10380.780440418555,10370.399659978139,10370.399659978139,10370.399659978139,10370.399659978139,10370.399659978139,10370.399659978139,10370.399659978139,10856.739789099778,11115.631276378313,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11104.515645101934,11039.766126340395,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11028.726360214056,11015.834987956154,11004.819152968199,11004.819152968199,11004.819152968199,11004.819152968199,11004.819152968199,11004.819152968199,11004.819152968199,10858.429915413162,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10847.571485497749,10969.953254079779,10870.855244852577,10859.984389607724,10859.984389607724,10859.984389607724,10741.98554576907,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,10731.243560223302,11213.093988279887,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11201.880894291608,11177.96405210981,11166.7860880577,11166.7860880577,11166.7860880577,11166.7860880577,11166.7860880577,11166.7860880577,11166.7860880577,11166.7860880577,10957.927789127829,10946.9698613387,10946.9698613387,10946.9698613387,10946.9698613387,10946.9698613387,10946.9698613387,10946.9698613387,10946.9698613387,10946.9698613387,10946.9698613387,10829.629961382923,10818.80033142154,10818.80033142154,10818.80033142154,10818.80033142154,10818.80033142154
NLG,PRIN,10.0,-2.746570962631261,1.3808802070391428,0.2627981024859187,0.05,11786.14649133064,2.1027493047684254,1.2481865628377533,0.009827948214104576,12,0.75,2.0896460988798746,24.044861111111103,34.52000000000002,1.0512361690315977,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10151.005933152293,10093.931436208322,10083.837504772115,10083.837504772115,10083.837504772115,10061.303676196403,10051.242372520206,10051.242372520206,10051.242372520206,10152.839866170618,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10142.687026304447,10201.966949574415,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10191.76498262484,10192.094035031885,10181.901940996853,10181.901940996853,10181.901940996853,10181.901940996853,10181.901940996853,10181.901940996853,10181.901940996853,10181.901940996853,10181.901940996853,10181.901940996853,10181.901940996853,10341.173786468591,10357.81457192235,10347.456757350428,10347.456757350428,10347.456757350428,10347.456757350428,10347.456757350428,10347.456757350428,10779.492749030373,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10768.713256281342,10787.24526580064,10750.338083975099,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,10739.587745891124,11004.222202911671,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,10993.217980708758,11086.228717133998,11075.142488416863,11075.142488416863,11075.142488416863,11075.142488416863,11075.142488416863,11075.142488416863,11075.142488416863,11075.142488416863,11629.361077108057,11617.731716030949,11617.731716030949,11617.731716030949,11617.731716030949,11617.731716030949,11617.731716030949,11617.731716030949,11617.731716030949,11617.731716030949,11617.731716030949,11617.731716030949,11797.944435766407,11786.14649133064,11786.14649133064,11786.14649133064,11786.14649133064,11786.14649133064,11786.14649133064,11786.14649133064,11786.14649133064,11786.14649133064,11786.14649133064
HRL,NICL,20.0,-2.1790515995069377,1.6397062757380767,0.3866762058991251,0.05,11370.778715402106,1.696200903904431,0.7538436503537435,0.015231999204397604,8,0.75,5.112166666666665,25.560833333333324,30.0,0.7316885462033587,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10458.120805369128,10666.85074909828,10656.183898349182,10656.183898349182,10656.183898349182,10656.183898349182,10736.86643357954,10726.12956714596,10726.12956714596,10726.12956714596,10726.12956714596,10726.12956714596,10726.12956714596,10642.683915089689,10632.041231174599,10632.041231174599,10632.041231174599,10632.041231174599,10632.041231174599,10632.041231174599,10583.906399004536,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10573.322492605532,10597.529836207026,10586.93230637082,10586.93230637082,10945.266985585291,10934.321718599707,10934.321718599707,10934.321718599707,10934.321718599707,10934.321718599707,11202.63315154073,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11191.430518389187,11382.160876278384,11370.778715402106
NRIC,SICL,21.0,-1.652123252482718,1.6901584823057367,-0.29817384999817487,0.05,11120.09035249375,1.336878952851679,0.3708142012046231,0.013550452523778686,12,0.6666666666666666,4.395883965280954,60.141187500000015,27.362499999999983,0.9629580651449261,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10295.09508796908,10284.799992881113,10284.799992881113,10284.799992881113,10284.799992881113,10284.799992881113,10284.799992881113,10284.799992881113,10284.799992881113,10284.799992881113,10284.799992881113,10165.75764840017,10155.59189075177,10155.59189075177,10155.59189075177,10155.59189075177,10155.59189075177,10155.59189075177,10155.59189075177,10155.59189075177,10155.59189075177,10419.39309117641,10408.973698085234,10408.973698085234,10388.014070479443,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10377.626056408964,10481.107764325478,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10470.626656561151,10569.878165527236,10559.308287361708,10559.308287361708,10559.308287361708,10559.308287361708,10559.308287361708,10559.308287361708,10559.308287361708,10559.308287361708,10559.308287361708,10559.308287361708,10579.388389193451,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10568.809000804258,10588.4799886584,10577.891508669743,10577.891508669743,10577.891508669743,10577.891508669743,10577.891508669743,10577.891508669743,10577.891508669743,10577.891508669743,11047.00701206033,11035.960005048271,11035.960005048271,11035.960005048271,10988.047684661362,10977.0596369767,10977.0596369767,10977.0596369767,10977.0596369767,11218.42877589091,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11207.21034711502,11131.221574067818,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375,11120.09035249375
NIL,NRIC,18.0,-2.873550324817555,1.3381659173028262,0.3174873676116978,0.1,10814.626923570875,0.7791478922328735,0.0860727880681854,0.03945501298701307,9,0.7777777777777778,15.848761946133829,26.05989285714289,5.7549999999999955,1.1557067358544852,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10056.149344867064,10046.093195522197,10046.093195522197,10046.093195522197,10342.548471050017,10332.205922578967,10332.205922578967,10332.205922578967,10332.205922578967,10332.205922578967,10332.205922578967,10332.205922578967,10254.159632651334,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10243.905473018682,10339.383052821695,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10329.043669768873,10286.883983048969,10276.59709906592,10276.59709906592,10276.59709906592,10276.59709906592,10276.59709906592,10276.59709906592,10276.59709906592,10276.59709906592,10276.59709906592,10276.59709906592,10276.59709906592,10426.085438023312,10609.982432236016,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10599.37244980378,10810.078655976251,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10799.268577320276,10841.43856483461,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,10830.597126269777,11258.844791019306,10825.452375946823,10814.626923570875,10814.626923570875,10814.626923570875
NICL,NTC,8.0,-1.175438470178055,2.987747547794234,-0.40976654218977626,0.05,11520.329112270652,1.8102930570060582,0.599237507590373,0.021318770344336588,13,0.7692307692307693,11.825769230769234,30.747000000000007,13.0,1.0166175212229336,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9931.912421805182,9921.980509383377,9921.980509383377,9921.980509383377,9921.980509383377,9921.980509383377,9921.980509383377,9921.980509383377,10046.593857814785,10036.547263956969,10036.547263956969,10036.547263956969,10036.547263956969,10036.547263956969,10036.547263956969,10036.547263956969,10036.547263956969,10036.547263956969,10050.181818730647,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10040.131636911918,10132.939904240195,10301.633276725237,10291.331643448511,10291.331643448511,10291.331643448511,10291.331643448511,10291.331643448511,10281.040311805064,10270.759271493258,10270.759271493258,10270.759271493258,10270.759271493258,10270.759271493258,10270.759271493258,10270.759271493258,10270.759271493258,10270.759271493258,10270.759271493258,10348.523591691704,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10338.175068100012,10753.37920818373,10794.392096326568,10987.428652060875,11066.255892482082,11055.1896365896,11055.1896365896,11055.1896365896,11055.1896365896,11055.1896365896,10964.790980661699,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10953.826189681038,10879.62192355094,10868.742301627388,10868.742301627388,10868.742301627388,10868.742301627388,10868.742301627388,10841.178102641234,10830.336924538593,10830.336924538593,10830.336924538593,10830.336924538593,11349.972069632267,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11338.622097562637,11531.860973243896,11520.329112270652
