Stock A,Stock B,Best Rolling Window,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101
NABIL,KBL,6.0,-1.0313365968697916,1.7311110815378188,-0.13871363563063144,0.15000000000000002,11196.411493170921,2.551015881366824,1.435137431715592,0.0067112641509435855,8,0.5,3.11353092783505,15.100624999999997,6.466666666666669,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9942.830188679245,9932.887358490565,9932.887358490565,9932.887358490565,10130.085771498705,10119.955685727207,10119.955685727207,10119.955685727207,10119.955685727207,10119.955685727207,10229.05904719835,10218.829988151152,10218.829988151152,10218.829988151152,10218.829988151152,10218.829988151152,10458.58044702223,10448.121866575208,10448.121866575208,10448.121866575208,10448.121866575208,10448.121866575208,10448.121866575208,10448.121866575208,10448.121866575208,10448.121866575208,10448.121866575208,10448.121866575208,10504.506080742165,10494.001574661423,10494.001574661423,10494.001574661423,10494.001574661423,10494.001574661423,10494.001574661423,10494.001574661423,10494.001574661423,10494.001574661423,10520.588850735743,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10510.068261885008,10974.589527493634,10963.614937966142,10963.614937966142,10963.614937966142,10963.614937966142,10963.614937966142,10963.614937966142,10963.614937966142,10963.614937966142,10963.614937966142,10963.614937966142,10963.614937966142,11207.619112283204,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921,11196.411493170921
NABIL,MBL,20.0,-1.6078249531713114,1.542001542928781,-0.49685516250643136,0.05,11104.750956514727,2.2896101190253977,4.249853360255263,0.0010000000000000924,4,0.5,2.897902097902096,62.16000000000001,21.450000000000017,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10412.3806911684,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10401.968310477232,10548.056130908448,10537.50807477754,10537.50807477754,10537.50807477754,10949.900512044313,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,10938.950611532267,11115.866823338065,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727,11104.750956514727
NABIL,NYADI,19.0,-1.0045540281837315,1.3785347259490304,-0.015264944455840035,0.05,11284.653045858555,2.1121227236745157,1.5465735279953758,0.00802893881512594,6,0.6666666666666666,2.6590298507462693,22.269375000000004,33.5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10255.125764785862,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10244.870639021075,10300.15798995362,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,10289.857831963667,11014.557819271964,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11003.543261452693,11181.504133513414,11358.81084191627,11347.452031074354,11347.452031074354,11347.452031074354,11347.452031074354,11278.890535189123,11267.611644653934,11267.611644653934,11267.611644653934,11267.611644653934,11267.611644653934,11295.948994853408,11284.653045858555,11284.653045858555
NABIL,NHPC,5.0,-1.1722721642451446,1.2358708773027014,0.07770626321112639,0.1,11123.09166271086,2.0497771163126264,0.524416687996404,0.01744399814034317,9,0.6666666666666666,1.5977272727272727,12.009583333333339,15.03333333333334,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9942.830188679245,9932.887358490565,9932.887358490565,9932.887358490565,9932.887358490565,10162.54858384549,10152.386035261645,10152.386035261645,10152.386035261645,10152.386035261645,10152.386035261645,10152.386035261645,10152.386035261645,10152.386035261645,10152.386035261645,10152.386035261645,10390.577610364919,10380.187032754555,10380.187032754555,10380.187032754555,10380.187032754555,10380.187032754555,10380.187032754555,10380.187032754555,10380.187032754555,10380.187032754555,10380.187032754555,10380.187032754555,10436.204630579507,10425.768425948927,10425.768425948927,10425.768425948927,10425.768425948927,10425.768425948927,10425.768425948927,10425.768425948927,10425.768425948927,10989.515411415818,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,10978.525896004403,11151.545010823555,11140.393465812731,11140.393465812731,11140.393465812731,11140.393465812731,11140.393465812731,10972.97500769624,10962.002032688542,10962.002032688542,10962.002032688542,10962.002032688542,10962.002032688542,10962.002032688542,10962.002032688542,10962.002032688542,10962.002032688542,10967.985465858652,10957.017480392793,10957.017480392793,10957.017480392793,10957.017480392793,10957.017480392793,10957.017480392793,10957.017480392793,11134.22588859946,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086,11123.09166271086
NABIL,KPCL,10.0,-2.720433564884384,1.037093140550359,0.13470019113949383,0.05,13445.393134782242,3.446732528449059,2.377185872985031,0.016691749861381392,8,0.875,3.897165532879816,24.552142857142854,44.10000000000002,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10380.052356020944,10610.359277304873,10599.748918027568,10599.748918027568,11164.329342955998,11229.564051665819,11218.334487614153,11218.334487614153,11218.334487614153,12160.130005229683,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12147.969875224453,12438.146947492825,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12425.708800545332,12540.857104070717,12528.316246966646,12528.316246966646,12528.316246966646,12528.316246966646,12528.316246966646,12395.323351421923,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12382.9280280705,12343.872126368611,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,12331.528254242243,13197.212021454772,13458.851986769012,13445.393134782242,13445.393134782242
NABIL,HDHPC,10.0,-1.326075980085674,2.952068673602189,-0.4024367581799736,0.1,10540.507068526354,1.8191822293164748,1.4482321850462005,0.0010000000000003001,5,0.6,3.899509803921568,13.258333333333317,10.199999999999989,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10049.241706161138,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10039.192464454978,10243.665931487425,10233.422265555939,10233.422265555939,10233.422265555939,10233.422265555939,10288.647834328056,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10278.359186493726,10393.524735388364,10383.131210652977,10383.131210652977,10383.131210652977,10383.131210652977,10383.131210652977,10383.131210652977,10383.131210652977,10383.131210652977,10551.058126653008,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354,10540.507068526354
NABIL,DHPL,13.0,-1.2567957537229668,1.3716882082386306,-0.34906566682041207,0.05,11410.43398820559,3.086524305762959,3.8819708004595044,0.0029970009999997823,7,0.5714285714285714,2.430084745762711,25.090625,20.650000000000006,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10374.615384615385,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10364.240769230768,10575.334664556212,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10564.759329891658,10554.194570561765,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10543.640375991203,10778.297674591753,10767.51937691716,10767.51937691716,10767.51937691716,10767.51937691716,10767.51937691716,10941.663022533536,11115.16653617657,11104.051369640392,11404.607247469065,11393.202640221596,11393.202640221596,11393.202640221596,11393.202640221596,11393.202640221596,11393.202640221596,11393.202640221596,11393.202640221596,11421.85584404964,11410.43398820559,11410.43398820559
NABIL,API,5.0,-1.067445319548513,1.4362819192076253,0.3592788298471833,0.1,11115.213542753338,2.580808238431035,1.4236689475238586,0.005957741258741267,10,0.5,1.3181847545219645,20.405500000000004,19.349999999999994,10000.0,10000.0,10000.0,10000.0,10000.0,9950.37296037296,9940.422587412588,9940.422587412588,9940.422587412588,9940.422587412588,9940.422587412588,9940.422587412588,9940.422587412588,9940.422587412588,9940.422587412588,9940.422587412588,10137.770597927618,10127.632827329691,10127.632827329691,10127.632827329691,10127.632827329691,10127.632827329691,10169.382653492668,10159.213270839176,10159.213270839176,10159.213270839176,10159.213270839176,10159.213270839176,10397.565024051337,10387.167459027285,10387.167459027285,10387.167459027285,10387.167459027285,10387.167459027285,10387.167459027285,10387.167459027285,10387.167459027285,10387.167459027285,10387.167459027285,10387.167459027285,10443.22272734029,10432.779504612949,10432.779504612949,10432.779504612949,10432.779504612949,10432.779504612949,10432.779504612949,10432.779504612949,10432.779504612949,10837.394011006138,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.556616995133,10826.041066680036,10815.215025613355,10815.215025613355,10815.215025613355,10815.215025613355,10815.215025613355,11017.097498137215,11006.080400639075,11006.080400639075,11006.080400639075,11006.080400639075,11006.080400639075,11109.537556405081,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11098.428018848675,11126.339882635973,11115.213542753338,11115.213542753338
NABIL,UNHPL,14.0,-1.283894291019155,2.10760708654652,0.4373519324210532,0.05,11742.146612835766,2.8504061706749555,2.15211848702108,0.00708296138119001,6,0.6666666666666666,1.6843283582089559,14.106250000000006,33.5,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10352.483008608973,10721.071238368042,10655.790094916609,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10645.134304821693,10861.949305235283,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,10851.087355930049,11438.295443344143,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11426.857147900797,11736.150482971292,11724.414332488323,11724.414332488323,11724.414332488323,11724.414332488323,11724.414332488323,11724.414332488323,11724.414332488323,11724.414332488323,11753.900513349115,11742.146612835766,11742.146612835766
KBL,NHPC,14.0,-1.7384147719450096,2.0290247893068187,0.2270077656467523,0.05,11918.197814408553,2.9540992068068843,1.6710919294355129,0.010838437428571168,7,0.8571428571428571,26.801874999999995,17.867916666666662,4.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10231.212956581665,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10220.981743625083,10130.45304818155,10120.322595133368,10120.322595133368,10120.322595133368,10120.322595133368,10120.322595133368,10120.322595133368,10120.322595133368,10120.322595133368,10120.322595133368,10667.553371980362,10656.885818608382,10656.885818608382,10656.885818608382,10656.885818608382,10656.885818608382,10656.885818608382,10656.885818608382,10656.885818608382,10656.885818608382,11041.44200478761,11030.400562782823,11030.400562782823,11030.400562782823,11140.583355217655,11129.442771862437,11129.442771862437,11129.442771862437,11129.442771862437,11129.442771862437,11468.936018041524,11457.467082023482,11457.467082023482,11457.467082023482,11457.467082023482,11457.467082023482,11457.467082023482,11457.467082023482,11930.127942350904,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553,11918.197814408553
