Stock A,Stock B,Z Entry Threshold A,Z Entry Threshold B,Z Exit Threshold,Stop Loss Threshold,Final Cumulative Returns,Final Sharpe Ratio,Final Sortino Ratio,Final Max Drawdown,Total Trades,Win Rate,Profit Factor,Average Profit,Average Loss,Hedge Ratio,Half Life,Rolling Window,Timestep 1,Timestep 2,Timestep 3,Timestep 4,Timestep 5,Timestep 6,Timestep 7,Timestep 8,Timestep 9,Timestep 10,Timestep 11,Timestep 12,Timestep 13,Timestep 14,Timestep 15,Timestep 16,Timestep 17,Timestep 18,Timestep 19,Timestep 20,Timestep 21,Timestep 22,Timestep 23,Timestep 24,Timestep 25,Timestep 26,Timestep 27,Timestep 28,Timestep 29,Timestep 30,Timestep 31,Timestep 32,Timestep 33,Timestep 34,Timestep 35,Timestep 36,Timestep 37,Timestep 38,Timestep 39,Timestep 40,Timestep 41,Timestep 42,Timestep 43,Timestep 44,Timestep 45,Timestep 46,Timestep 47,Timestep 48,Timestep 49,Timestep 50,Timestep 51,Timestep 52,Timestep 53,Timestep 54,Timestep 55,Timestep 56,Timestep 57,Timestep 58,Timestep 59,Timestep 60,Timestep 61,Timestep 62,Timestep 63,Timestep 64,Timestep 65,Timestep 66,Timestep 67,Timestep 68,Timestep 69,Timestep 70,Timestep 71,Timestep 72,Timestep 73,Timestep 74,Timestep 75,Timestep 76,Timestep 77,Timestep 78,Timestep 79,Timestep 80,Timestep 81,Timestep 82,Timestep 83,Timestep 84,Timestep 85,Timestep 86,Timestep 87,Timestep 88,Timestep 89,Timestep 90,Timestep 91,Timestep 92,Timestep 93,Timestep 94,Timestep 95,Timestep 96,Timestep 97,Timestep 98,Timestep 99,Timestep 100,Timestep 101,Timestep 102,Timestep 103,Timestep 104,Timestep 105,Timestep 106,Timestep 107,Timestep 108,Timestep 109,Timestep 110,Timestep 111,Timestep 112,Timestep 113,Timestep 114,Timestep 115,Timestep 116,Timestep 117,Timestep 118,Timestep 119,Timestep 120,Timestep 121,Timestep 122,Timestep 123,Timestep 124,Timestep 125,Timestep 126,Timestep 127,Timestep 128,Timestep 129,Timestep 130,Timestep 131,Timestep 132,Timestep 133,Timestep 134,Timestep 135,Timestep 136,Timestep 137,Timestep 138,Timestep 139,Timestep 140,Timestep 141,Timestep 142,Timestep 143,Timestep 144,Timestep 145,Timestep 146,Timestep 147,Timestep 148,Timestep 149,Timestep 150,Timestep 151,Timestep 152,Timestep 153,Timestep 154,Timestep 155,Timestep 156,Timestep 157,Timestep 158,Timestep 159,Timestep 160,Timestep 161,Timestep 162,Timestep 163,Timestep 164,Timestep 165,Timestep 166,Timestep 167,Timestep 168,Timestep 169,Timestep 170,Timestep 171,Timestep 172,Timestep 173,Timestep 174,Timestep 175,Timestep 176,Timestep 177,Timestep 178,Timestep 179,Timestep 180,Timestep 181,Timestep 182,Timestep 183,Timestep 184,Timestep 185,Timestep 186,Timestep 187,Timestep 188,Timestep 189,Timestep 190,Timestep 191,Timestep 192,Timestep 193,Timestep 194,Timestep 195,Timestep 196,Timestep 197,Timestep 198,Timestep 199,Timestep 200,Timestep 201,Timestep 202,Timestep 203,Timestep 204,Timestep 205,Timestep 206,Timestep 207,Timestep 208,Timestep 209,Timestep 210,Timestep 211,Timestep 212,Timestep 213,Timestep 214,Timestep 215,Timestep 216,Timestep 217,Timestep 218,Timestep 219,Timestep 220,Timestep 221,Timestep 222,Timestep 223,Timestep 224,Timestep 225,Timestep 226,Timestep 227,Timestep 228,Timestep 229,Timestep 230,Timestep 231
KBL,MBL,-1.038846027575812,2.5445913445944806,0.15581173116823932,0.05,10693.845996534608,0.36122281786857796,0.08115477707463767,0.01764296415974715,8,0.5,3.0439427312775345,17.274375,5.674999999999997,0.82365855766587,26.267985872543534,26,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,9886.907216494847,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,9877.02030927835,10304.011494956381,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10293.707483461425,10309.309895433214,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10299.00058553778,10288.701584952243,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10278.41288336729,10389.224573752976,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10378.835349179222,10222.27573426414,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10212.053458529876,10216.14400095164,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10205.927856950688,10704.55054708169,10693.845996534608,10693.845996534608,10693.845996534608
KBL,LICN,-1.377511131272413,1.931312044461227,0.23533682731080363,0.05,10963.046643370608,0.6340411376737838,0.07962893336301723,0.03861694929266332,19,0.631578947368421,8.148967684021548,37.82479166666668,7.9571428571428555,0.1077076340852904,10.878849675697692,10,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10003.183915622942,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,9993.180731707318,10121.02452658537,10269.466219641956,10259.196753422315,10259.196753422315,10702.70972076257,10346.228674704169,10521.855365007666,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10511.33350964266,10753.106265829818,10742.353159563987,10742.353159563987,10742.353159563987,10742.353159563987,10742.353159563987,10742.353159563987,10742.353159563987,10801.684864849067,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10790.883179984216,10926.412127818334,10915.485715690516,10915.485715690516,10915.485715690516,10915.485715690516,10915.485715690516,10915.485715690516,10915.485715690516,10915.485715690516,10803.687737223527,10790.14281528432,10779.352672469036,10779.352672469036,10779.352672469036,10834.569356566788,10823.734787210222,10823.734787210222,10823.734787210222,10823.734787210222,10823.734787210222,10823.734787210222,10823.734787210222,10823.734787210222,10823.734787210222,10823.734787210222,10742.778861577155,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10732.03608271558,10729.385399104787,10718.656013705682,10718.656013705682,10718.656013705682,10718.656013705682,10718.656013705682,10718.656013705682,10776.154738845236,10765.378584106391,10765.378584106391,10765.378584106391,10765.378584106391,10765.378584106391,10765.378584106391,10765.378584106391,10765.378584106391,10765.378584106391,10765.378584106391,10712.319248189307,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10701.606928941119,10675.395746752843,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10664.72035100609,10514.982407134756,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10504.467424727622,10937.81369355899,10926.875879865433,10926.875879865433,10926.875879865433,10926.875879865433,10926.875879865433,10831.53899332612,10820.707454332794,10820.707454332794,10885.193975790738,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10874.308781814947,10974.020664034642,10963.046643370608,10963.046643370608,10963.046643370608,10963.046643370608
LICN,MBL,-2.01752083392655,2.5050392144337277,0.44894387211866127,0.05,10107.118350648057,-1.9369136968502867,-0.2184740441191123,0.012220670131238833,4,0.75,40.20918367346934,131.35,9.800000000000011,7.603097533324164,23.74293765542118,23,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10052.240663900417,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,10042.188423236516,9939.334881548615,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,9929.395546667067,10058.989273556004,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10048.930284282449,10117.23558623429,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057,10107.118350648057
